longitude,latitude,gap
-75.51139,4.83257,290.83
-75.51139,4.83357,290.80
-75.51139,4.83457,290.79
-75.51139,4.83557,290.82
-75.51139,4.83657,290.88
-75.51139,4.83757,290.98
-75.51139,4.83857,291.12
-75.51139,4.83957,291.30
-75.51139,4.84057,291.54
-75.51139,4.84157,291.84
-75.51139,4.84257,292.20
-75.51139,4.84357,292.64
-75.51139,4.84457,293.16
-75.51139,4.84557,293.77
-75.51139,4.84657,294.49
-75.51139,4.84757,295.33
-75.51139,4.84857,296.30
-75.51139,4.84957,297.44
-75.51139,4.85057,298.76
-75.51139,4.85157,300.28
-75.51139,4.85257,302.05
-75.51139,4.85357,304.10
-75.51139,4.85457,306.47
-75.51139,4.85557,309.22
-75.51139,4.85657,312.38
-75.51139,4.85757,316.02
-75.51139,4.85857,319.37
-75.51139,4.85957,319.34
-75.51139,4.86057,319.32
-75.51139,4.86157,319.30
-75.51139,4.86257,319.29
-75.51139,4.86357,319.28
-75.51139,4.86457,319.28
-75.51139,4.86557,317.81
-75.51139,4.86657,311.76
-75.51139,4.86757,306.16
-75.51139,4.86857,301.11
-75.51139,4.86957,296.61
-75.51139,4.87057,292.66
-75.51139,4.87157,289.22
-75.51139,4.87257,286.23
-75.51139,4.87357,283.66
-75.51139,4.87457,281.45
-75.51139,4.87557,279.54
-75.51139,4.87657,277.91
-75.51139,4.87757,276.52
-75.51139,4.87857,275.32
-75.51139,4.87957,274.31
-75.51139,4.88057,273.45
-75.51139,4.88157,272.72
-75.51139,4.88257,272.12
-75.51139,4.88357,271.62
-75.51139,4.88457,271.22
-75.51139,4.88557,270.90
-75.51139,4.88657,270.65
-75.51139,4.88757,270.47
-75.51139,4.88857,270.36
-75.51139,4.88957,270.29
-75.51139,4.89057,270.28
-75.51139,4.89157,270.31
-75.51139,4.89257,270.39
-75.51139,4.89357,270.50
-75.51139,4.89457,270.64
-75.51139,4.89557,270.82
-75.51139,4.89657,271.03
-75.51139,4.89757,271.26
-75.51139,4.89857,271.52
-75.51139,4.89957,271.80
-75.51139,4.90057,272.11
-75.51139,4.90157,272.43
-75.51139,4.90257,272.77
-75.51139,4.90357,273.13
-75.51139,4.90457,273.50
-75.51139,4.90557,273.89
-75.51139,4.90657,274.30
-75.51139,4.90757,274.71
-75.51139,4.90857,275.14
-75.51139,4.90957,275.58
-75.51139,4.91057,276.03
-75.51139,4.91157,276.49
-75.51139,4.91257,276.96
-75.51139,4.91357,277.44
-75.51139,4.91457,277.93
-75.51139,4.91557,278.42
-75.51139,4.91657,278.92
-75.51139,4.91757,279.42
-75.51139,4.91857,279.93
-75.51139,4.91957,280.45
-75.51139,4.92057,280.97
-75.51139,4.92157,281.49
-75.51039,4.83257,289.15
-75.51039,4.83357,289.07
-75.51039,4.83457,289.00
-75.51039,4.83557,288.97
-75.51039,4.83657,288.97
-75.51039,4.83757,289.00
-75.51039,4.83857,289.07
-75.51039,4.83957,289.18
-75.51039,4.84057,289.34
-75.51039,4.84157,289.55
-75.51039,4.84257,289.83
-75.51039,4.84357,290.17
-75.51039,4.84457,290.59
-75.51039,4.84557,291.10
-75.51039,4.84657,291.71
-75.51039,4.84757,292.43
-75.51039,4.84857,293.29
-75.51039,4.84957,294.30
-75.51039,4.85057,295.49
-75.51039,4.85157,296.89
-75.51039,4.85257,298.54
-75.51039,4.85357,300.47
-75.51039,4.85457,302.75
-75.51039,4.85557,305.43
-75.51039,4.85657,308.58
-75.51039,4.85757,312.28
-75.51039,4.85857,316.60
-75.51039,4.85957,318.97
-75.51039,4.86057,318.94
-75.51039,4.86157,318.92
-75.51039,4.86257,318.91
-75.51039,4.86357,318.90
-75.51039,4.86457,318.90
-75.51039,4.86557,315.95
-75.51039,4.86657,309.12
-75.51039,4.86757,302.94
-75.51039,4.86857,297.48
-75.51039,4.86957,292.73
-75.51039,4.87057,288.66
-75.51039,4.87157,285.18
-75.51039,4.87257,282.24
-75.51039,4.87357,279.74
-75.51039,4.87457,277.63
-75.51039,4.87557,275.84
-75.51039,4.87657,274.33
-75.51039,4.87757,273.06
-75.51039,4.87857,272.00
-75.51039,4.87957,271.10
-75.51039,4.88057,270.36
-75.51039,4.88157,269.75
-75.51039,4.88257,269.25
-75.51039,4.88357,268.86
-75.51039,4.88457,268.55
-75.51039,4.88557,268.33
-75.51039,4.88657,268.17
-75.51039,4.88757,268.07
-75.51039,4.88857,268.03
-75.51039,4.88957,268.05
-75.51039,4.89057,268.10
-75.51039,4.89157,268.20
-75.51039,4.89257,268.34
-75.51039,4.89357,268.51
-75.51039,4.89457,268.72
-75.51039,4.89557,268.95
-75.51039,4.89657,269.21
-75.51039,4.89757,269.50
-75.51039,4.89857,269.81
-75.51039,4.89957,270.14
-75.51039,4.90057,270.48
-75.51039,4.90157,270.85
-75.51039,4.90257,271.24
-75.51039,4.90357,271.63
-75.51039,4.90457,272.05
-75.51039,4.90557,272.48
-75.51039,4.90657,272.92
-75.51039,4.90757,273.37
-75.51039,4.90857,273.83
-75.51039,4.90957,274.31
-75.51039,4.91057,274.79
-75.51039,4.91157,275.28
-75.51039,4.91257,275.78
-75.51039,4.91357,276.29
-75.51039,4.91457,276.80
-75.51039,4.91557,277.32
-75.51039,4.91657,277.85
-75.51039,4.91757,278.38
-75.51039,4.91857,278.92
-75.51039,4.91957,279.46
-75.51039,4.92057,280.01
-75.51039,4.92157,280.55
-75.50939,4.83257,287.45
-75.50939,4.83357,287.31
-75.50939,4.83457,287.19
-75.50939,4.83557,287.09
-75.50939,4.83657,287.02
-75.50939,4.83757,286.98
-75.50939,4.83857,286.97
-75.50939,4.83957,287.01
-75.50939,4.84057,287.08
-75.50939,4.84157,287.21
-75.50939,4.84257,287.38
-75.50939,4.84357,287.62
-75.50939,4.84457,287.94
-75.50939,4.84557,288.33
-75.50939,4.84657,288.81
-75.50939,4.84757,289.40
-75.50939,4.84857,290.12
-75.50939,4.84957,290.98
-75.50939,4.85057,292.02
-75.50939,4.85157,293.25
-75.50939,4.85257,294.73
-75.50939,4.85357,296.50
-75.50939,4.85457,298.62
-75.50939,4.85557,301.17
-75.50939,4.85657,304.23
-75.50939,4.85757,307.90
-75.50939,4.85857,312.32
-75.50939,4.85957,317.59
-75.50939,4.86057,318.56
-75.50939,4.86157,318.54
-75.50939,4.86257,318.53
-75.50939,4.86357,318.52
-75.50939,4.86457,318.51
-75.50939,4.86557,313.59
-75.50939,4.86657,305.83
-75.50939,4.86757,298.98
-75.50939,4.86857,293.12
-75.50939,4.86957,288.17
-75.50939,4.87057,284.05
-75.50939,4.87157,280.63
-75.50939,4.87257,277.79
-75.50939,4.87357,275.43
-75.50939,4.87457,273.48
-75.50939,4.87557,271.86
-75.50939,4.87657,270.52
-75.50939,4.87757,269.41
-75.50939,4.87857,268.49
-75.50939,4.87957,267.75
-75.50939,4.88057,267.14
-75.50939,4.88157,266.66
-75.50939,4.88257,266.29
-75.50939,4.88357,266.01
-75.50939,4.88457,265.81
-75.50939,4.88557,265.68
-75.50939,4.88657,265.62
-75.50939,4.88757,265.62
-75.50939,4.88857,265.66
