ev_id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,magnitude,uncertainty,type,method_id,station_count,evaluation_status
10008g52,earthquake,,us,manual,reviewed,2017-04-10 01:18:41.890000,-103.2568,0.0368,31.1608,0.0351,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,3500.0,4200.0,6700.0,37.0,6700.0,2900.0,4200.0,2.0,37.0,94.0,39,39,,,,0.74,51.0,77.0,,0.562,,,3.0,0.085,mb_Lg,1.0,41,reviewed
10008mt4,earthquake,,us,manual,reviewed,2017-05-01 21:52:47.620000,-103.3201,0.0473,31.1426,0.0468,1760.0,7600.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,4800.0,5653.0,6960.0,159.0,11600.0,6600.0,8000.0,80.0,173.0,167.0,56,56,,,,0.5,51.0,81.0,,0.52,,,3.2,0.064,mb_Lg,1.0,71,reviewed
2000a4kd,earthquake,,us,manual,reviewed,2017-08-04 17:05:36.030000,-103.2706,0.0168,31.161,0.0117,2750.0,5400.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,1211.0,2391.0,121.0,8200.0,1400.0,2800.0,88.0,177.0,124.0,50,22,,,,0.86,76.0,100.0,,0.551,,,2.8,0.075,mb_Lg,1.0,46,reviewed
2000a95w,earthquake,,us,manual,reviewed,2017-08-17 20:42:59.770000,-103.2656,0.0326,31.1626,0.0216,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2500.0,3000.0,5300.0,301.0,5300.0,2700.0,3000.0,0.0,301.0,0.0,36,17,,,,0.93,54.0,94.0,,0.555,,,2.7,0.104,mb_Lg,1.0,28,reviewed
2000a9zt,earthquake,,us,manual,reviewed,2017-08-20 20:48:34.740000,-103.2693,0.0315,31.1194,0.0072,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1500.0,3000.0,4600.0,278.0,4600.0,1100.0,3000.0,3.0,278.0,181.0,27,23,,,,0.54,72.0,85.0,,0.569,,,2.8,0.089,mb_Lg,1.0,50,reviewed
2000a9zw,earthquake,,us,manual,reviewed,2017-08-20 20:54:31.440000,-103.2654,0.0336,31.1533,0.0207,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2600.0,3100.0,5100.0,294.0,5100.0,3000.0,3100.0,1.0,294.0,267.0,20,20,,,,0.64,99.0,105.0,,0.558,,,2.8,0.098,mb_Lg,1.0,39,reviewed
2000aa4g,earthquake,,us,manual,reviewed,2017-08-21 09:44:02.880000,-103.2556,0.0326,31.1248,0.0225,4110.0,1700.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2700.0,2894.0,4367.0,117.0,5500.0,1100.0,3600.0,23.0,291.0,291.0,29,29,,,,0.77,54.0,84.0,,0.578,,,2.8,0.076,mb_Lg,1.0,55,reviewed
2000aevc,earthquake,,us,manual,reviewed,2017-09-03 06:24:36.060000,-103.3225,0.0399,31.1217,0.0306,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,3200.0,3400.0,7000.0,130.0,7000.0,2900.0,3400.0,2.0,130.0,275.0,39,34,,,,1.15,57.0,88.0,,0.528,,,2.7,0.093,mb_Lg,1.0,39,reviewed
2000aevi,earthquake,,us,manual,reviewed,2017-09-03 06:27:39.030000,-103.2636,0.021,31.1731,0.0081,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,2900.0,3000.0,89.0,3000.0,1400.0,2900.0,27.0,89.0,1.0,38,24,,,,0.41,77.0,102.0,,0.552,,,3.1,0.064,mb_Lg,1.0,86,reviewed
2000amr0,earthquake,,us,manual,reviewed,2017-09-14 20:11:54.220000,-103.2947,0.0336,31.1684,0.0234,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2800.0,3600.0,5200.0,296.0,5200.0,3000.0,3600.0,0.0,296.0,277.0,40,24,,,,0.69,55.0,86.0,,0.529,,,3.2,0.052,ML,1.0,48,reviewed
