n_event,n_origin,event_id,event_time,latitude,latitude_uncertainty,longitude,longitude_uncertainty,depth,depth_uncertainty,rms,region,method,earth_model,event_type,magnitude,magnitude_type,n_P_phases,n_S_phases,preferred_origin
178,0,ESG2024vnjr,2024-11-02 03:54:38.637710,4.880300371877072,1.1451981394114712,-75.35224044826309,1.7062867272153504,2131.6964285714284,2517.4954350239977,0.05900962274830698,Colombia,NonLinLoc,Nereidas,earthquake,0.44,ML,5,5,True
178,1,ESG2024vnjr,2024-11-02 03:54:38.659999,4.8825,0.6363961030678927,-75.34266666666667,0.6363961030678927,2110.0,1000.0,0.05,Colombia,Hypo71,RSNC,earthquake,0.44,ML,5,5,False
177,0,ESG2024vnrn,2024-11-02 07:51:47.673550,4.914339841615896,2.2916389692247185,-75.37934746146176,3.1624016537621196,7665.178571428572,2388.871303608036,0.06837601727916093,Colombia,NonLinLoc,Nereidas,earthquake,0.86,ML,4,4,False
177,1,ESG2024vnrn,2024-11-02 07:51:47.673550,4.914339841615896,2.2916389692247185,-75.37934746146176,3.1624016537621196,7665.178571428572,2388.871303608036,0.06837601727916093,Colombia,NonLinLoc,Nereidas,earthquake,0.86,ML,4,4,False
177,2,ESG2024vnrn,2024-11-02 07:51:47.740013,4.911674829750223,1.5016066099200127,-75.38660523329823,2.084111068389821,7366.071428571428,1405.1606737259353,0.06972460272520427,Colombia,NonLinLoc,Nereidas,earthquake,0.86,ML,7,7,False
177,3,ESG2024vnrn,2024-11-02 07:51:47.740013,4.911674829750223,1.5016066099200127,-75.38660523329823,2.084111068389821,7366.071428571428,1405.1606737259353,0.06972460272520427,Colombia,NonLinLoc,Nereidas,earthquake,0.86,ML,7,7,False
177,4,ESG2024vnrn,2024-11-02 07:51:47.666100,4.908404133369624,1.5053408272826823,-75.38084190100945,2.096534898018322,7515.625,1493.672037803926,0.0719883425844344,Colombia,NonLinLoc,Nereidas,earthquake,0.86,ML,7,7,True
177,5,ESG2024vnrn,2024-11-02 07:51:47.679999,4.923333333333334,0.8485281374238569,-75.37916666666666,0.8485281374238569,8370.0,700.0,0.07,Colombia,Hypo71,RSNC,earthquake,0.86,ML,7,7,False
177,6,ESG2024vnrn,2024-11-02 07:51:47.590000,4.919666666666666,0.9899494936611664,-75.372,0.9899494936611664,8560.0,800.0,0.07,Colombia,Hypo71,RSNC,earthquake,0.86,ML,7,7,False
176,0,ESG2024vnro,2024-11-02 07:53:47.194663,4.915308936839777,1.5066601445311103,-75.37593203135643,2.5402055181995897,6468.75,1835.1490789772008,0.05051683462023293,Colombia,NonLinLoc,Nereidas,earthquake,0.69,ML,5,4,True
176,1,ESG2024vnro,2024-11-02 07:53:47.170000,4.926333333333333,0.7071067811865475,-75.3715,0.7071067811865475,7290.0,700.0,0.04,Colombia,Hypo71,RSNC,earthquake,0.69,ML,5,4,False
175,0,ESG2024vnrp,2024-11-02 07:53:50.129723,4.906587079824847,1.7910905635084917,-75.38873995992283,2.8694958583627943,7665.178571428572,1665.380633522248,0.03467902748524098,Colombia,NonLinLoc,Nereidas,earthquake,0.63,ML,4,4,True
175,1,ESG2024vnrp,2024-11-02 07:53:50.090000,4.918666666666667,0.7071067811865475,-75.37983333333334,0.7071067811865475,8590.0,500.0,0.03,Colombia,Hypo71,RSNC,earthquake,0.63,ML,4,4,False
174,0,ESG2024vnrq,2024-11-02 07:55:16.482893,4.917731674899479,1.5870303595723017,-75.38276274214995,2.4092414355202165,5870.535714285715,2033.4314764388903,0.16586536973116997,Colombia,NonLinLoc,Nereidas,earthquake,0.6,ML,4,4,True
174,1,ESG2024vnrq,2024-11-02 07:55:16.769999,4.921833333333334,2.82842712474619,-75.38083333333333,2.82842712474619,5390.0,3000.0,0.19,Colombia,Hypo71,RSNC,earthquake,0.6,ML,4,4,False
173,0,ESG2024vnst,2024-11-02 08:30:12.512298,4.915430073742762,1.4439729714877951,-75.37614548841327,1.9853061816085218,6917.410714285715,1647.35367552582,0.05218634673517753,Colombia,NonLinLoc,Nereidas,earthquake,1.93,ML,7,7,True
173,1,ESG2024vnst,2024-11-02 08:30:12.449999,4.928833333333333,0.4949747468305832,-75.36533333333334,0.4949747468305832,7490.0,600.0,0.04,Colombia,Hypo71,RSNC,earthquake,1.93,ML,7,7,False
172,0,ESG2024vnta,2024-11-02 08:37:58.865511,4.910463460720371,1.5600118440779007,-75.37849376288995,2.2488081972065306,7066.964285714284,1632.3858834977375,0.05790788336958309,Colombia,NonLinLoc,Nereidas,earthquake,0.56,ML,5,5,True
172,1,ESG2024vnta,2024-11-02 08:37:58.859999,4.920666666666667,0.7071067811865475,-75.36883333333333,0.7071067811865475,7670.0,700.0,0.04,Colombia,Hypo71,RSNC,earthquake,0.56,ML,5,5,False
171,0,ESG2024vnti,2024-11-02 08:47:17.606699,4.914339841615896,1.7502542173150384,-75.37934746146176,2.733373038402004,7066.964285714284,1846.51035736773,0.05074079086681921,Colombia,NonLinLoc,Nereidas,earthquake,0.46,ML,4,4,True
171,1,ESG2024vnti,2024-11-02 08:47:17.589999,4.925833333333333,1.0606601717798212,-75.37133333333334,1.0606601717798212,7760.0,1000.0,0.05,Colombia,Hypo71,RSNC,earthquake,0.46,ML,4,4,False
170,0,ESG2024vntn,2024-11-02 08:52:40.433654,4.90973663930246,1.582458150610156,-75.38489760125917,2.3120639965565575,7366.071428571428,1526.4491229005723,0.05238484951928198,Colombia,NonLinLoc,Nereidas,earthquake,0.39,ML,5,5,True
170,1,ESG2024vntn,2024-11-02 08:52:40.450000,4.919666666666666,0.8485281374238569,-75.37766666666667,0.8485281374238569,8070.0,700.0,0.05,Colombia,Hypo71,RSNC,earthquake,0.39,ML,5,5,False
