n_event,n_origin,event_id,pick_id,phasehint,arrival_time,probability,snr,detection_probability,network,station,location,channel,picker,evaluation_mode,preferred_origin
178,0,ESG2024vnjr,20250114155300.980103.4608,P,2024-11-02 03:54:40.502515,,,,EY,POZ1,00,HHZ,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155300.980103.4608,P,2024-11-02 03:54:40.502515,,,,EY,POZ1,00,HHZ,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155416.248245.4617,P,2024-11-02 03:54:40.589646,,,,EY,ECO4,00,HHZ,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155416.248245.4617,P,2024-11-02 03:54:40.589646,,,,EY,ECO4,00,HHZ,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155300.981219.4612,P,2024-11-02 03:54:40.661081,,,,EY,POZ4,00,HHZ,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155300.981219.4612,P,2024-11-02 03:54:40.661081,,,,EY,POZ4,00,HHZ,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155300.980826.4610,P,2024-11-02 03:54:40.677139,,,,EY,ECO1,00,HHZ,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155300.980826.4610,P,2024-11-02 03:54:40.677139,,,,EY,ECO1,00,HHZ,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155416.24933.4619,P,2024-11-02 03:54:40.736497,,,,EY,ECO2,00,HHZ,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155416.24933.4619,P,2024-11-02 03:54:40.736497,,,,EY,ECO2,00,HHZ,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155416.248566.4618,S,2024-11-02 03:54:41.954968,,,,EY,ECO4,00,HHN,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155416.248566.4618,S,2024-11-02 03:54:41.954968,,,,EY,ECO4,00,HHN,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155300.980634.4609,S,2024-11-02 03:54:41.967502,,,,EY,POZ1,00,HHN,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155300.980634.4609,S,2024-11-02 03:54:41.967502,,,,EY,POZ1,00,HHN,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155300.981383.4613,S,2024-11-02 03:54:42.113802,,,,EY,POZ4,00,HHN,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155300.981383.4613,S,2024-11-02 03:54:42.113802,,,,EY,POZ4,00,HHN,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155300.980993.4611,S,2024-11-02 03:54:42.260759,,,,EY,ECO1,00,HHN,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155300.980993.4611,S,2024-11-02 03:54:42.260759,,,,EY,ECO1,00,HHN,eguzmanv@proc1,manual,False
178,0,ESG2024vnjr,20250114155416.249523.4620,S,2024-11-02 03:54:42.578094,,,,EY,ECO2,00,HHN,eguzmanv@proc1,manual,True
178,1,ESG2024vnjr,20250114155416.249523.4620,S,2024-11-02 03:54:42.578094,,,,EY,ECO2,00,HHN,eguzmanv@proc1,manual,False
177,2,ESG2024vnrn,20250113214148.588207.5130,P,2024-11-02 07:51:49.993702,,,,EY,POZ1,00,HHZ,eguzmanv@proc1,manual,False
177,3,ESG2024vnrn,20250113214148.588207.5130,P,2024-11-02 07:51:49.993702,,,,EY,POZ1,00,HHZ,eguzmanv@proc1,manual,False
177,5,ESG2024vnrn,20250113214148.588207.5130,P,2024-11-02 07:51:49.993702,,,,EY,POZ1,00,HHZ,eguzmanv@proc1,manual,False
177,4,ESG2024vnrn,20250114155812.28479.4713,P,2024-11-02 07:51:49.997348,,,,EY,ECO1,00,HHZ,eguzmanv@proc1,manual,True
177,6,ESG2024vnrn,20250114155812.28479.4713,P,2024-11-02 07:51:49.997348,,,,EY,ECO1,00,HHZ,eguzmanv@proc1,manual,False
177,2,ESG2024vnrn,20250113214148.588668.5132,P,2024-11-02 07:51:50.018542,,,,EY,ECO1,00,HHZ,eguzmanv@proc1,manual,False
177,3,ESG2024vnrn,20250113214148.588668.5132,P,2024-11-02 07:51:50.018542,,,,EY,ECO1,00,HHZ,eguzmanv@proc1,manual,False
177,5,ESG2024vnrn,20250113214148.588668.5132,P,2024-11-02 07:51:50.018542,,,,EY,ECO1,00,HHZ,eguzmanv@proc1,manual,False
177,4,ESG2024vnrn,20250114155812.284277.4711,P,2024-11-02 07:51:50.020394,,,,EY,POZ1,00,HHZ,eguzmanv@proc1,manual,True
177,6,ESG2024vnrn,20250114155812.284277.4711,P,2024-11-02 07:51:50.020394,,,,EY,POZ1,00,HHZ,eguzmanv@proc1,manual,False
177,0,ESG2024vnrn,20241102.075150.03-P-EY.POZ1.00.HH,P,2024-11-02 07:51:50.030000,,,,EY,POZ1,00,HHZ,EQTransformer,automatic,False
177,1,ESG2024vnrn,20241102.075150.03-P-EY.POZ1.00.HH,P,2024-11-02 07:51:50.030000,,,,EY,POZ1,00,HHZ,EQTransformer,automatic,False
177,0,ESG2024vnrn,20241102.075150.13-P-EY.POZ2.00.HH,P,2024-11-02 07:51:50.130000,,,,EY,POZ2,00,HHZ,EQTransformer,automatic,False
177,1,ESG2024vnrn,20241102.075150.13-P-EY.POZ2.00.HH,P,2024-11-02 07:51:50.130000,,,,EY,POZ2,00,HHZ,EQTransformer,automatic,False
177,4,ESG2024vnrn,20250114155812.285892.4719,P,2024-11-02 07:51:50.139019,,,,EY,POZ2,00,HHZ,eguzmanv@proc1,manual,True
