network,station,station_latitude,station_longitude,station_elevation,station_starttime,station_endtime,channel,location_code,latitude,longitude,elevation,depth,site,epoch,starttime,endtime,equipment,sampling_rate,sensitivity,frequency,azimuth,dip,station_index,x[km],y[km],z[km]
4O,WB01,31.721667,-104.060278,927.0,2021-07-06T17:00:01.000000Z,2023-11-04T19:57:52.000000Z,HH1,00,31.721667,-104.060278,0.927,0.0,Salt Mine 1,0,2021-07-06T17:00:01.000000Z,2023-11-04T19:57:52.000000Z,Silicon Au,100.0,299993420.1658899,1.0,0.0,0.0,32,-11583.937158766488,3726.8302925833814,-0.927
4O,CT01,31.90285,-104.144532,994.0,2022-02-25T21:22:39.064000Z,2030-11-04T20:44:14.000000Z,HHZ,,31.90285,-104.144532,0.994,0.5,"""Z""",0,2022-02-25T21:22:39.064000Z,2030-11-04T20:44:14.000000Z,,200.0,1.2990986377509573e+26,1.0,0.0,-90.0,35,-11593.316271143785,3750.5649248598124,-0.994
4O,SA02,31.67163,-104.2649,1127.5,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,00,31.67163,-104.2649,0.76,0.0,Saturn HM Philips State 94 Lease,0,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 113P-10,200.0,229560561.7684149,1.0,0.0,-90.0,41,-11606.71557561159,3720.2837249648182,-0.76
4O,SA04,31.75593,-104.25458,1092.1,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,00,31.75593,-104.25458,0.76,0.0,Saturn Double C SWD Lease,0,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 113P-10,200.0,229560561.7684149,1.0,0.0,-90.0,42,-11605.566758466603,3731.3151147449043,-0.76
4O,SA06,31.75696,-104.14971,1048.2,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,00,31.75696,-104.14971,0.76,0.0,Saturn I Take It All C SWD,0,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 113P-10,200.0,229560561.7684149,1.0,0.0,-90.0,43,-11593.892683467113,3731.449961288141,-0.76
4O,WB02,31.7363019,-103.9449205,932.0,2022-05-10T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHE,00,31.7363019,-103.9449205,0.932,0.0,Waterbridge Causeway/Creole,0,2022-05-10T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 213P-40,200.0,361553486.7980263,1.0,90.0,0.0,45,-11571.095620607304,3728.7457106771067,-0.932
4O,WB03,31.6107215,-103.9688386,994.0,2022-05-10T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHE,00,31.6107215,-103.9688386,0.994,0.0,Waterbridge  BHS 56-8 1D,0,2022-05-10T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 213P-40,200.0,361553486.7980263,1.0,90.0,0.0,46,-11573.758171320045,3712.319547402024,-0.994
4O,SA07,31.86578,-104.36481,1103.0,2022-07-31T17:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,00,31.86578,-104.36481,1.103,0.0,True Blue SWD,0,2022-07-31T17:00:00.000000Z,2030-11-04T20:44:14.000000Z,"Silicon Audio, Inc. 113P-10",100.0,185031178.4608349,1.0,0.0,-90.0,47,-11617.837505936746,3745.70503280264,-1.103
4O,WB04,31.530513,-103.950319,961.89,2022-08-26T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHE,00,31.530513,-103.950319,0.96189,0.0,Waterbridge,0,2022-08-26T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 213P-40,200.0,361553486.7980263,1.0,90.0,0.0,50,-11571.696578878351,3701.8397147221267,-0.96189
4O,WB05,31.7537807,-103.8329479,854.81,2022-08-26T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHE,00,31.7537807,-103.8329479,0.85481,0.0,Waterbridge,0,2022-08-26T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 213P-40,200.0,361553486.7980263,1.0,90.0,0.0,51,-11558.630887792504,3731.033735426106,-0.85481
4O,CV01,31.8504,-104.0889,983.0,2022-11-08T18:13:10.000000Z,2030-11-04T20:44:14.000000Z,HHZ,,31.8504,-104.0889,0.983,0.0,Chevron WTX40,0,2022-11-08T18:13:10.000000Z,2030-11-04T20:44:14.000000Z,Nanometrics Trillium Compact,200.0,301239972.44999313,1.0,0.0,-90.0,59,-11587.123345231972,3743.6892823349935,-0.983
4O,BP01,31.8409,-103.8244,806.0,2023-02-03T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,,31.8409,-103.8244,0.806,0.0,BPX,0,2023-02-16T20:55:25.000000Z,2030-11-04T20:44:14.000000Z,Nanometrics TrilliumCompact20,200.0,301240111.11344576,1.0,0.0,-90.0,62,-11557.679339917151,3742.444350837782,-0.806
TX,PB09,31.774145,-104.301444,1139.0,2019-05-22T00:00:00.000000Z,,HHN,00,31.774145,-104.301444,1.139,0.0,Culberson County,0,2019-05-22T00:00:00.000000Z,,Guralp CMG-40T,200.0,327893563.4134574,1.0,0.0,0.0,159,-11610.78363508314,3733.7000252827866,-1.139
TX,PB13,31.5542,-103.8458,956.1,2019-04-25T00:00:00.000000Z,,HHZ,00,31.5542,-103.8458,0.9561000000000001,0.0,Reeves - Culberson Border,0,2019-04-25T00:00:00.000000Z,2020-09-08T00:00:00.000000Z,Guralp CMG-40T,200.0,327893563.4134574,1.0,0.0,-90.0,160,-11560.061577020128,3704.9336583536183,-0.9561000000000001
TX,PB29,31.75299,-104.514453,1242.0,2020-03-06T00:00:00.000000Z,,HHZ,00,31.75299,-104.514453,1.242,0.0,Culberson North,0,2020-03-06T00:00:00.000000Z,,Silicon Au,100.0,299993420.1658899,1.0,0.0,-90.0,183,-11634.495688497524,3730.930221214746,-1.242
TX,PB28,31.66864,-104.50077,1204.0,2020-03-05T22:00:00.000000Z,,HHZ,00,31.66864,-104.50077,1.204,0.0,Culberson South,0,2020-03-05T22:00:00.000000Z,,Nanometrics Trillium Compact 20s,100.0,298993456.8406871,1.0,0.0,-90.0,184,-11632.972503905,3719.892641442299,-1.204
TX,PB31,31.73226,-104.030536,907.0,2020-05-21T02:00:00.000000Z,2022-05-19T15:00:00.000000Z,HN1,01,31.73226,-104.030536,0.907,0.0,Salt Creek,0,2020-05-21T02:00:00.000000Z,2022-05-19T15:00:00.000000Z,Silicon Audio 203 Ultra Low Noise Accelerometer,100.0,61343021.84141537,1.0,0.0,0.0,187,-11580.626294471314,3728.216675909058,-0.907
TX,PB33,31.534929,-104.054045,1006.0,2020-06-03T22:00:00.000000Z,,HH2,01,31.534929,-104.054045,1.006,0.0,Gresham,0,2020-06-03T22:00:00.000000Z,2020-06-22T23:00:00.000000Z,Guralp CMG-6T,200.0,2450200883.507735,1.0,90.0,0.0,206,-11583.243304380374,3702.416463355623,-1.006
TX,PB34,31.676667,-104.037778,969.3,2021-07-06T00:00:00.000000Z,,HH1,00,31.676667,-104.037778,0.9692999999999999,0.0,Salt Mine 2,0,2021-07-06T00:00:00.000000Z,,Nanometrics Trillium Compact,200.0,301239972.44999313,1.0,0.0,0.0,213,-11581.43247022364,3720.942578756161,-0.9692999999999999
TX,PB35,31.656187,-104.43203,1224.0,2022-07-27T00:00:00.000000Z,,HHZ,00,31.656187,-104.43203,1.224,0.0,UTL Block 46,0,2022-07-27T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,221,-11625.32040210787,3718.263959731859,-1.224
TX,PB37,31.71847,-104.528416,1263.0,2022-07-29T00:00:00.000000Z,,HHZ,00,31.71847,-104.528416,1.263,0.0,UTL Block 46,0,2022-07-29T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,223,-11636.05004254747,3726.411908955612,-1.263
TX,PB38,31.72972,-104.426634,1240.0,2022-07-29T00:00:00.000000Z,,HHZ,00,31.72972,-104.426634,1.24,0.0,UTL Block 46,0,2022-07-29T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,224,-11624.71972213555,3727.8842331019605,-1.24
TX,PB40,31.6419935,-103.9339588,935.0,2022-08-21T00:00:00.000000Z,,HHZ,00,31.6419935,-103.9339588,0.935,0.0,KInetik,0,2022-08-21T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,225,-11569.875369745074,3716.4079105937394,-0.935
TX,PB43,31.680019,-103.864872,896.0,2022-09-23T00:00:00.000000Z,,HHZ,00,31.680019,-103.864872,0.896,0.0,APC/Westernmidstream,0,2022-09-23T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,228,-11562.184662348538,3721.381049606243,-0.896
TX,PB20,31.6281,-104.06179,1022.0,2022-07-10T16:30:00.000000Z,,HHZ,00,31.6281,-104.06179,1.022,0.0,Ringtail SWD,0,2022-07-10T16:30:00.000000Z,,"Silicon Audio, Inc. 113P-10",100.0,202957027.7050261,1.0,0.0,-90.0,229,-11584.10547383657,3714.591366107153,-1.022
TX,PB23,31.66404,-104.07276,1005.0,2022-07-10T22:30:00.000000Z,,HHE,00,31.66404,-104.07276,1.005,0.0,Bighorn SWD,0,2022-07-10T22:30:00.000000Z,,"Silicon Audio, Inc. 213P-40",100.0,226127088.47802252,1.0,90.0,0.0,230,-11585.326648650569,3719.2909990662256,-1.005
TX,PB24,31.61979,-104.01776,997.0,2022-07-11T16:00:00.000000Z,,HHE,00,31.61979,-104.01776,0.997,0.0,Broken Spoke SWD,0,2022-07-11T16:00:00.000000Z,,"Silicon Audio, Inc. 113P-10",100.0,193660850.2077828,1.0,90.0,0.0,231,-11579.204076656939,3713.5049815933653,-0.997
TX,PB25,31.58308,-104.07019,1037.0,2022-07-11T19:00:00.000000Z,,HHE,00,31.58308,-104.07019,1.037,0.0,Penner SWD,0,2022-07-11T19:00:00.000000Z,,"Silicon Audio, Inc. 213P-40",100.0,224576186.25705424,1.0,90.0,0.0,232,-11585.040557559232,3708.7069630806486,-1.037
