OBJECTID,yr,mon,day,hr,min_,sec,evid,latitude,longitude,depth,magnitude,qID,cID,nbranch,qnpair,qndiffP,qndiffS,rmsP,rmsS,eh,ez,et,latC,lonC,depC,ev_id,EventDate,Shape,origin_time,x[km],y[km],z[km]
6160,2017,6,6,6,22,15.19,297584535,31.5721,-103.86593,5.797,1.64,6160,1369,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.5721,-103.86593,5.797,texnet2017kznc,1496730135000,,2017-06-06 06:22:15.189999,-11562.302438369798,3707.2722379170773,5.797
17610,2017,6,20,9,49,52.139,298806592,31.50556,-103.81682,3.381,1.91,17610,4238,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.50556,-103.81682,3.381,texnet2017lziz,1497952192000,,2017-06-20 09:49:52.139000,-11556.835538176942,3698.5812576389726,3.381
12381,2017,6,23,21,7,14.614,299106434,31.57727,-103.80949,2.25,2.12,12381,2449,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.57727,-103.80949,2.25,texnet2017mfrv,1498252035000,,2017-06-23 21:07:14.614000,-11556.019566309424,3707.9477659619142,2.25
13165,2017,8,14,21,28,7.169,303600487,31.60614,-103.84991,2.815,1.45,13165,1983,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.60614,-103.84991,2.815,texnet2017pwsq,1502746087000,,2017-08-14 21:28:07.168999,-11560.519100127287,3711.7206976948796,2.815
15400,2017,8,24,22,39,53.391,304468793,31.58641,-103.83533,5.129,1.61,15400,772,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.58641,-103.83533,5.129,texnet2017qpcc,1503614393000,,2017-08-24 22:39:53.390999,-11558.896061951522,3709.1421180507527,5.129
15123,2017,8,25,23,22,52.819,304557772,31.58816,-103.87405,5.232,1.75,15123,1450,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.58816,-103.87405,5.232,texnet2017qqza,1503703373000,,2017-08-25 23:22:52.819000,-11563.20635263504,3709.3708093286236,5.232
17263,2017,10,21,8,49,51.872,309430191,31.57013,-103.91755,6.209,1.3,17263,3637,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.57013,-103.91755,6.209,texnet2017upzw,1508575792000,,2017-10-21 08:49:51.871999,-11568.048750484546,3707.0148415359495,6.209
17669,2017,10,29,7,52,28.898,310117948,31.57819,-103.81164,4.101,1.88,17669,4234,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.57819,-103.81164,4.101,texnet2017venz,1509263549000,,2017-10-29 07:52:28.897999,-11556.25890321463,3708.0679799081267,4.101
14473,2017,10,31,3,48,9.2,310276089,31.59929,-103.82891,1.941,1.3,14473,2301,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.59929,-103.82891,1.941,texnet2017vhwx,1509421689000,,2017-10-31 03:48:09.199999,-11558.18139082063,3710.82538640074,1.941
11002,2017,12,4,12,11,54.494,313243914,31.57911,-103.80949,9.654,1.19,11002,1914,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.57911,-103.80949,9.654,texnet2017xsqq,1512389514000,,2017-12-04 12:11:54.493999,-11556.019566309424,3708.188195040848,9.654
17730,2017,12,16,2,16,11.995,314244971,31.58645,-103.81812,8.831,1.49,17730,3087,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.58645,-103.81812,8.831,texnet2017ynva,1513390572000,,2017-12-16 02:16:11.994999,-11556.980253514972,3709.1473452319974,8.831
13413,2018,3,4,0,4,57.436,320976297,31.56901,-103.80516,9.654,1.46,13413,2392,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.56901,-103.80516,9.654,texnet2018ejhh,1520121897000,,2018-03-04 00:04:57.435999,-11555.53755291429,3706.8685069318703,9.654
18557,2018,3,20,12,33,9.818,322403589,31.70701,-103.94284,10.013,1.31,18557,1214,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.70701,-103.94284,10.013,texnet2018fnma,1521549190000,,2018-03-20 12:33:09.817999,-11570.864020406709,3724.9122851219217,10.013
11248,2018,3,20,13,10,10.381,322405810,31.71706,-103.96335,8.06,0.96,11248,927,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.71706,-103.96335,8.06,texnet2018fnnh,1521551410000,,2018-03-20 13:10:10.381000,-11573.147183162879,3726.2273902641814,8.06
6565,2018,3,29,12,59,31.483,323182771,31.58009,-103.82443,9.911,1.39,6565,1134,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.58009,-103.82443,9.911,texnet2018gdyl,1522328371000,,2018-03-29 12:59:31.483000,-11557.682679501877,3708.3162515960853,9.911
3151,2018,3,30,14,34,25.093,323274865,31.59237,-103.83392,6.103,1.76,3151,460,2,1,2,5,0.0,0.0,-1,-1,-1.0,31.59009,-103.83319,6.054,texnet2018gfxc,1522420465000,,2018-03-30 14:34:25.092999,-11558.739101469506,3709.920992799357,6.103
19378,2018,5,2,8,8,56.339,326102936,31.47707,-103.81674,4.512,1.1,19378,4116,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.47707,-103.81674,4.512,texnet2018inrz,1525248536000,,2018-05-02 08:08:56.338999,-11556.826632617676,3694.8619890095933,4.512
13415,2018,5,7,7,6,54.91,326531214,31.55224,-103.90296,2.147,0.9,13415,735,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.55224,-103.90296,2.147,texnet2018iwtm,1525676815000,,2018-05-07 07:06:54.909999,-11566.424599113872,3704.677617681905,2.147
9287,2018,5,10,6,11,45.633,326787105,31.55117,-103.95672,6.363,1.18,9287,1748,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.55117,-103.95672,6.363,texnet2018jcee,1525932706000,,2018-05-10 06:11:45.633000,-11572.409134938918,3704.53784264596,6.363
6803,2018,5,22,5,38,34.575,327821914,31.62323,-104.05285,6.187,1.35,6803,840,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.62323,-104.05285,6.187,texnet2018jybc,1526967515000,,2018-05-22 05:38:34.575000,-11583.110277588878,3713.9546885641707,6.187
10738,2018,5,22,6,45,40.343,327825940,31.50411,-103.96418,13.458,1.34,10738,1903,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.50411,-103.96418,13.458,texnet2018jydi,1526971540000,,2018-05-22 06:45:40.343000,-11573.239578340235,3698.391937904281,13.458
944,2018,5,23,1,35,35.152,327893735,31.62291,-103.96694,6.26,1.4,944,1142,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.62291,-103.96694,6.26,texnet2018jzop,1527039335000,,2018-05-23 01:35:35.152000,-11573.546820134825,3713.9128546562624,6.26
13859,2018,5,25,22,28,58.911,328141738,31.59961,-104.03761,6.774,1.65,13859,2366,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.59961,-104.03761,6.774,texnet2018keux,1527287339000,,2018-05-25 22:28:58.911000,-11581.413768549188,3710.867209695579,6.774
14375,2018,5,25,22,34,31.384,328142070,31.63743,-103.99389,5.471,2.74,14375,7,391,3,13,12,0.01,0.0,-1,-1,-1.0,31.6374,-104.00767,6.054,texnet2018kevd,1527287671000,,2018-05-25 22:34:31.384000,-11576.546880411703,3715.811213103274,5.471
9478,2018,5,25,22,50,17.395,328143017,31.60675,-104.0207,14.599,1.67,9478,3773,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.60675,-104.0207,14.599,texnet2018kevq,1527288617000,,2018-05-25 22:50:17.394999,-11579.531355959874,3711.8004293395893,14.599
15560,2018,5,25,23,32,33.749,328145553,31.63753,-103.99372,5.444,2.35,15560,7,391,1,5,5,0.0,0.0,-1,-1,-1.0,31.62736,-103.98717,7.597,texnet2018kexa,1527291154000,,2018-05-25 23:32:33.749000,-11576.527956098269,3715.8242882247837,5.444
12945,2018,5,26,0,21,10.197,328148470,31.63641,-104.02811,8.42,1.49,12945,1387,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.63641,-104.02811,8.42,texnet2018keyq,1527294070000,,2018-05-26 00:21:10.196999,-11580.35623338665,3715.6778476669597,8.42
12306,2018,5,26,2,47,8.401,328157228,31.63363,-104.00303,6.617,1.49,12306,218,5,2,3,10,0.01,0.01,-1,-1,-1.0,31.64017,-104.00661,6.157,texnet2018kfdl,1527302828000,,2018-05-26 02:47:08.400999,-11577.564340557556,3715.3143689035564,6.617
18246,2018,5,26,11,5,46.798,328187146,31.63405,-104.00203,6.7,1.86,18246,218,5,2,2,10,0.0,0.01,-1,-1,-1.0,31.63056,-103.99311,7.443,texnet2018kftx,1527332747000,,2018-05-26 11:05:46.798000,-11577.453021066762,3715.369282264631,6.7
5372,2018,5,26,11,21,44.905,328188104,31.6341,-104.00201,6.816,1.57,5372,218,5,1,2,4,0.01,0.0,-1,-1,-1.0,31.63833,-104.00444,6.466,texnet2018kful,1527333705000,,2018-05-26 11:21:44.905000,-11577.450794676946,3715.375819586038,6.816
7269,2018,5,29,2,44,41.845,328416281,31.63412,-104.00192,6.811,1.72,7269,218,5,4,7,18,0.01,0.0,-1,-1,-1.0,31.62776,-104.00493,6.106,texnet2018kkpw,1527561882000,,2018-05-29 02:44:41.844999,-11577.440775922776,3715.378434515583,6.811
18506,2018,5,29,9,21,5.13,328440065,31.41294,-104.00251,12.739,1.11,18506,4364,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.41294,-104.00251,12.739,texnet2018klcx,1527585665000,,2018-05-29 09:21:05.129999,-11577.506454422344,3686.494184412757,12.739
16150,2018,6,4,13,10,55.526,328972255,31.63938,-103.96571,6.157,1.4,16150,3368,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.63938,-103.96571,6.157,texnet2018kwjo,1528117856000,,2018-06-04 13:10:55.526000,-11573.409897161151,3716.0661805088184,6.157
18819,2018,6,14,15,56,17.157,329846177,31.50457,-103.86135,4.975,1.09,18819,4152,1,0,0,0,0.0,0.0,-1,-1,-1.0,31.50457,-103.86135,4.975,texnet2018lowa,1528991777000,,2018-06-14 15:56:17.157000,-11561.792595101964,3698.4519976400165,4.975
