ev_id,origin_time,eq_latitude,eq_longitude,magnitude,v_ij
texnet2021yaha,2021-12-08 16:24:10.473000,31.71989,-104.2781,3.08,2.0882440894221275
texnet2021ybat,2021-12-09 02:22:36.353000,31.64392,-104.16691,2.19,1.5616737448157645
texnet2021yccs,2021-12-09 16:30:40.286000,31.68712,-104.29181,3.1,1.5854433160517694
texnet2021ydnq,2021-12-10 11:09:11.294000,31.64883,-104.21182,2.16,1.7784945572433968
texnet2021ydzs,2021-12-10 17:15:28.675999,31.64965,-104.23338,2.08,1.6338797135985526
texnet2021ygpn,2021-12-12 03:30:28.795000,31.64544,-104.22567,2.06,1.6032897840085123
texnet2021yhel,2021-12-12 11:03:38.267000,31.64363,-104.22472,2.28,1.6587113090397578
texnet2021yhjt,2021-12-12 13:44:34.375000,31.64614,-104.20759,2.37,1.7628559190653095
texnet2021yifq,2021-12-13 00:47:16.858000,31.61654,-104.10555,2.39,1.6348311178792918
texnet2021yjjp,2021-12-13 15:55:32.375000,31.64061,-104.22343,2.02,1.6608437952837714
texnet2021yofc,2021-12-16 07:19:51.122999,31.6835,-104.29446,2.09,1.6981152369819947
texnet2021ypia,2021-12-16 21:57:04.735000,31.71887,-104.28777,2.32,1.9042867060048605
texnet2021yrzv,2021-12-18 09:13:08.276999,31.65565,-104.31238,2.4,1.7031957553734494
texnet2021ysyq,2021-12-18 21:46:23.992999,31.61431,-104.10241,2.42,1.6565370132179382
texnet2021ytdt,2021-12-19 00:20:36.066000,31.61578,-104.10518,2.16,1.5977647343048218
texnet2021yteb,2021-12-19 00:29:52.883000,31.61658,-104.10552,1.87,1.5580295610080377
texnet2021yuuu,2021-12-19 22:05:38.453000,31.64704,-104.22476,2.53,1.6198780171799059
texnet2021yuvd,2021-12-19 22:15:46.326999,31.6475,-104.22587,2.36,1.601938578678845
texnet2021yval,2021-12-20 00:56:10.506000,31.64801,-104.22468,2.13,1.5571429064228033
texnet2021yvpp,2021-12-20 08:35:26.637000,31.64822,-104.22559,3.03,1.59695964205715
texnet2021yvxt,2021-12-20 12:43:26.100000,31.64874,-104.22951,2.93,1.7220444572877858
texnet2021yvxu,2021-12-20 12:44:34.427999,31.64862,-104.22901,2.72,1.7044272955865776
texnet2021yyai,2021-12-21 16:16:55.198000,31.64674,-104.22214,2.9,1.5897845381797515
texnet2021zhud,2021-12-27 00:32:28.698000,31.65363,-104.29584,2.88,1.6701338021702523
