API_UWI_12,WellId,WellFormationId,WellApi,OBS_Number,FormationCode,FormationName,MD_Top,TVD_Top,DataSource,AgeEquivalence,WellFormationSource,Country,State,RSRegion,RSBasin,RSPlay
42-109-00136-00,840420002552776,2347958,42-109-00136,,,DELAWARE,2533,2533,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00420-00,840420002552963,1751008,42-109-00420,,,DELAWARE,2510,2510,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32714-00,840420000572007,3675831,42-109-32714,,,MISSISSIPPIAN,3940,3940,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32714-00,840420000572007,3675833,42-109-32714,,,BONE SPRINGS,3542,3542,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32714-00,840420000572007,3675834,42-109-32714,,,CHERRY CANYON,3486,3486,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32714-00,840420000572007,3675835,42-109-32714,,,DELAWARE,2525,2525,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32714-00,840420000572007,3675836,42-109-32714,,,FORD-DELAWARE,2510,2510,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32714-00,840420000572007,3675838,42-109-32714,,,RUSTLER,450,450,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32714-00,840420000572007,3675841,42-109-32714,,,WOLFCAMP,4368,4368,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32917-00,840420000580863,2728525,42-109-32917,,,BONE SPRINGS,,5870,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32917-00,840420000580863,2729336,42-109-32917,,,WOLFCAMP,8967,8965,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32917-00,840420000580863,2782183,42-109-32917,,,DELAWARE,2298,2298,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-32917-00,840420000580863,2796827,42-109-32917,,,CHERRY CANYON,3304,3304,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-33006-00,840420004640853,4258926,42-109-33006,,,BONE SPRINGS,5860,5843,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-33006-00,840420004640853,4258927,42-109-33006,,,CHERRY CANYON,3386,3384,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-33006-00,840420004640853,4258928,42-109-33006,,,DELAWARE,2393,2393,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-33006-00,840420004640853,4258929,42-109-33006,,,FORD-DELAWARE,2393,2393,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-33006-00,840420004640853,4258930,42-109-33006,,,RUSTLER,397,397,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-33006-00,840420004640853,4258931,42-109-33006,,,WOLFCAMP,9116,9087,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-70029-00,840420005481498,12431297,42-109-70029,,,MISS LIME,8343,8343,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-70029-00,840420005481498,12431298,42-109-70029,,,WOODFORD,8453,8453,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-70029-00,840420005481498,14834061,42-109-70029,,,WOLFCAMP A,6054,6054,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-70029-00,840420005481498,14834062,42-109-70029,,,WOLFCAMP B,6326,6326,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-70029-00,840420005481498,15408736,42-109-70029,,,3RD BONE SPRING,5341,5341,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-70029-00,840420005481498,15408737,42-109-70029,,,3RD BONE SPRING SAND,5760,5760,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-70029-00,840420005481498,15408739,42-109-70029,,,WOODFORD BASE,8541,8541,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,12435431,42-109-00406,,,PENN SHALE,8230,8230,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,12435432,42-109-00406,,,WOLFCAMP C,7145,7145,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,12435433,42-109-00406,,,WOLFCAMP D,7639,7639,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,12435434,42-109-00406,,,WOODFORD,10689,10689,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,14834372,42-109-00406,,,WOLFCAMP A,6452,6452,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,14834374,42-109-00406,,,WOLFCAMP B,6719,6719,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408838,42-109-00406,,,1ST BONE SPRING,4621,4621,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408839,42-109-00406,,,2ND BONE SPRING,4873,4873,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408840,42-109-00406,,,2ND BONE SPRING SAND,5280,5280,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408841,42-109-00406,,,3RD BONE SPRING,5572,5572,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408842,42-109-00406,,,3RD BONE SPRING SAND,6127,6127,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408843,42-109-00406,,,AVALON LOWER,4307,4307,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408844,42-109-00406,,,AVALON MIDDLE,4153,4153,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408845,42-109-00406,,,AVALON UPPER,3683,3683,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408846,42-109-00406,,,PENN LOWER,8780,8780,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408847,42-109-00406,,,WOLFCAMP A LOWER,6533,6533,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
42-109-00406-00,840420005481394,15408848,42-109-00406,,,WOLFCAMP B LOWER,6828,6828,ENV GEO,,ENV GEO,US,TX,PERMIAN,DELAWARE,DELAWARE
