API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-109-70029,42-109-70029-00,840420005481498,812343634,42-109-70029-00-00_DIG_RS0032305973.LAS,LAS,DIGITAL_LOG,RAW,100,52.00,8797.00,LAS,"DT,GR,ILD,ILS,SP",5,MD,1305412,2020-01-10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
42-109-70029,42-109-70029-00,840420005481498,812544434,42-109-70029-00-00_EC_RS0032886869.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,52.00,8797.00,LAS,"DT,GR,RESD,RESS,SP",5,MD,1612489,2023-11-03,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
42-109-70029,42-109-70029-00,840420005481498,814493114,42-109-70029-00-00_ECP_RS0044810434.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,52.00,8797.00,LAS,"DT_E,GR_E,RESD_E,RESS_E,SP_E",20,MD,5550393,2023-11-20,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
42-109-00406,42-109-00406-00,840420005481394,811723374,42-109-00406-00-00_EC_RS0029582122.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,300.00,7745.50,LAS,"DT,GR",2,MD,703608,2023-11-02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-00406,42-109-00406-00,840420005481394,813931053,42-109-00406-00-00_EC_RS0044184337.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,100.50,12629.50,LAS,"DT__A,GR__A",2,MD,1181179,2023-11-02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-00406,42-109-00406-00,840420005481394,814463774,42-109-00406-00-00_ECP_RS0044780465.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,100.50,12629.00,LAS,"DT_E,GR_E",8,MD,3437361,2023-11-20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-00406,42-109-00406-00,840420005481394,812063808,42-109-00406-00-00_DIG_RS0031976272.LAS,LAS,DIGITAL_LOG,RAW,100,100.00,12630.00,LAS,"DT,GR",2,MD,980826,2018-10-09,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-00406,42-109-00406-00,840420005481394,808020314,42-109-00406-00-00_DIG_RS0013234021.LAS,LAS,DIGITAL_LOG,RAW,100,300.00,7745.50,LAS,"DT,GR",2,,537534,2018-02-02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-31550,42-109-31550-00,840420002552899,810030113,42-109-31550-00-00_DIG_RS0022584832.LAS,LAS,DIGITAL_LOG,RAW,100,250.00,10300.00,LAS,DT,1,,627124,2019-01-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-31550,42-109-31550-00,840420002552899,811018299,42-109-31550-00-00_EC_RS0025651277.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,249.50,10300.00,LAS,"DT,RESD_LL,RESS_LL",3,MD,1250476,2023-11-03,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-31550,42-109-31550-00,840420002552899,812008253,42-109-31550-00-00_DIG_RS0031895975.LAS,LAS,DIGITAL_LOG,RAW,100,20.00,10300.00,LAS,"CAL,DT,GR,NPHI,RHOB",5,MD,1545660,2018-10-09,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
42-109-31550,42-109-31550-00,840420002552899,812513050,42-109-31550-00-00_EC_RS0032847771.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,21.00,10300.00,LAS,"CALI__D,DT__D,GR__D,NPHI__D,RHOB__D",5,MD,1895043,2023-11-03,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
42-109-31550,42-109-31550-00,840420002552899,810029727,42-109-31550-00-00_DIG_RS0022584426.LAS,LAS,DIGITAL_LOG,RAW,100,4.00,10300.00,LAS,"CALI,DPHI,DRHO,DT,GR,ILD,ILM,LLD,LLS,NPHI,RHOB,SFLU",12,,4497548,2019-01-23,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-109-31550,42-109-31550-00,840420002552899,811021480,42-109-31550-00-00_EC_RS0025655092.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,250.00,10300.00,LAS,DT__C,1,MD,646971,2023-11-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-31550,42-109-31550-00,840420002552899,811848987,42-109-31550-00-00_ECP_RS0031584250.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,4.00,10300.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,RESD_E,RESD_LL_E,RESM_E,RESS_E,RESS_LL_E,RHOB_E",49,MD,15494948,2023-11-20,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-109-00203,42-109-00203-00,840420005554213,814446115,42-109-00203-00-00_ECP_RS0044762420.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,97.00,8647.00,LAS,"DT_E,GR_E,RESD_E,RESS_E,SP_E",20,MD,5426763,2023-11-20,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
42-109-00203,42-109-00203-00,840420005554213,812545916,42-109-00203-00-00_EC_RS0032888714.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,97.00,8647.00,LAS,"DT,GR,RESD,RESS,SP",5,MD,1576609,2023-11-02,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
42-109-00203,42-109-00203-00,840420005554213,812343784,42-109-00203-00-00_DIG_RS0032306126.LAS,LAS,DIGITAL_LOG,RAW,100,97.00,8647.00,LAS,"DT,GR,ILD,ILS,SP",5,MD,1280392,2020-01-10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
