API_UWI_12,WellId,WellFormationId,WellApi,OBS_Number,FormationCode,FormationName,MD_Top,TVD_Top,DataSource,AgeEquivalence,WellFormationSource,Country,State,RSRegion,RSBasin,RSPlay
42-389-34510-00,840420000645734,1588671,42-389-34510,,,DELAWARE,5200,5200,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34510-00,840420000645734,1810435,42-389-34510,,,CASTILLE,2800,2800,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34510-00,840420000645734,1835673,42-389-34510,,,DELAWARE CONSOLIDATED GAS,6500,6500,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34510-00,840420000645734,2005869,42-389-34510,,,BONE SPRINGS,9246,9246,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34510-00,840420000645734,2087670,42-389-34510,,,FORD-DELAWARE,2500,2500,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34510-00,840420000645734,2096161,42-389-34510,,,CHERRY CANYON,6080,6080,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34510-00,840420000645734,2321282,42-389-34510,,,BELL CANYON,5290,5290,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246764,42-389-35629,,,BELL CANYON,5315,5207,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246766,42-389-35629,,,BRUSHY CANYON,7251,7135,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246767,42-389-35629,,,CHERRY CANYON,6182,6067,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246768,42-389-35629,,,CASTILLE,3487,3433,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246769,42-389-35629,,,FIRST BONE SPRING,9221,9105,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246770,42-389-35629,,,LAMAR,5274,5167,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246771,42-389-35629,,,RUSTLER,808,808,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246772,42-389-35629,,,SECOND BONE SPRING,9598,9481,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246773,42-389-35629,,,SALADO,1319,1319,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246774,42-389-35629,,,THIRD BONE SPRING,10472,10330,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4246775,42-389-35629,,,WOLFCAMP,10758,10524,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35629-00,840420004640972,4297348,42-389-35629,,,BONE SPRINGS,8324,8207,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-371-39373-00,840420000749241,4275468,42-371-39373,,,BONE SPRINGS,8114,8059,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-371-39373-00,840420000749241,4275469,42-371-39373,,,DELAWARE,5228,5200,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-371-39373-00,840420000749241,4275470,42-371-39373,,,WOLFCAMP,10675,10438,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34822-00,840420000636072,1423683,42-389-34822,,,BELL CANYON,5265,5265,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34822-00,840420000636072,1437618,42-389-34822,,,CHERRY CANYON,6145,6145,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34822-00,840420000636072,1557236,42-389-34822,,,WOLFCAMP,10380,10380,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34822-00,840420000636072,2121689,42-389-34822,,,FORD-DELAWARE,5240,5240,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34822-00,840420000636072,2141945,42-389-34822,,,BONE SPRINGS,8180,8180,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-34822-00,840420000636072,2291047,42-389-34822,,,DELAWARE,5240,5240,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35161-00,840420003232632,6622878,42-389-35161,,,CHERRY CANYON,6105,6105,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35161-00,840420003232632,6644457,42-389-35161,,,BONE SPRINGS,8227,8227,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35161-00,840420003232632,6642750,42-389-35161,,,BELL CANYON,5213,5213,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35161-00,840420003232632,6665030,42-389-35161,,,WOLFCAMP,10503,10503,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35161-00,840420003232632,6675921,42-389-35161,,,DELAWARE,5213,5213,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35380-00,840420003872195,3681768,42-389-35380,,,BELL CANYON,5251,5190,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35380-00,840420003872195,3681769,42-389-35380,,,CHERRY CANYON,6147,6082,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35380-00,840420003872195,3681770,42-389-35380,,,DELAWARE,5700,2500,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35380-00,840420003872195,3681771,42-389-35380,,,FORD-DELAWARE,2500,2500,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35380-00,840420003872195,3681914,42-389-35380,,,BONE SPRINGS,9393,9237,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
42-389-35380-00,840420003872195,3681915,42-389-35380,,,DELAWARE CONSOLIDATED GAS,6500,6500,REPORTED,,REPORTED,US,TX,PERMIAN,DELAWARE,DELAWARE
