API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-371-10075,42-371-10075-00,840420002928552,812012719,42-371-10075-00-00_DIG_RS0031902417.LAS,LAS,DIGITAL_LOG,RAW,100,429.00,6365.00,LAS,"DT,GR",2,MD,379880,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-10075,42-371-10075-00,840420002928552,813717688,42-371-10075-00-00_ECP_RS0041770119.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,429.00,6365.00,LAS,"DT_E,GR_E",8,MD,1631016,2023-11-20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-10075,42-371-10075-00,840420002928552,812595019,42-371-10075-00-00_EC_RS0032950118.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,429.00,6365.00,LAS,"DT,GR",2,MD,561270,2023-11-05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-10508,42-389-10508-00,840420002953165,812536318,42-389-10508-00-00_EC_RS0032876734.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,0,21524.00,LAS,"CALI,DT,GR",3,MD,2672339,2023-11-04,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-10508,42-389-10508-00,840420002953165,812038469,42-389-10508-00-00_DIG_RS0031939530.LAS,LAS,DIGITAL_LOG,RAW,100,-3.00,21524.00,LAS,"CAL,DT,GR",3,MD,1809332,2020-05-10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-10508,42-389-10508-00,840420002953165,813723701,42-389-10508-00-00_ECP_RS0041778503.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,0,21524.00,LAS,"CALI_E,DT_E,GR_E",12,MD,8485465,2023-11-21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-36857,42-371-36857-00,840420002933947,815934761,42-371-36857-00-00_DIG_RS0051093905.LAS,LAS,DIGITAL_LOG,RAW,100,10229.00,16597.00,LAS,"DT,GR,ILD",3,MD,508506,2021-10-17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-36857,42-371-36857-00,840420002933947,813725214,42-371-36857-00-00_ECP_RS0041780633.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,10229.00,16597.00,LAS,"DT_E,GR_E,RESD_E",12,MD,2514037,2023-11-20,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-36857,42-371-36857-00,840420002933947,816369329,42-371-36857-00-00_EC_RS0053505139.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,10229.00,16597.00,LAS,"DT,GR,RESD",3,MD,793164,2023-11-03,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-10116,42-389-10116-00,840420002915495,812566289,42-389-10116-00-00_EC_RS0032914195.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,107.00,5258.00,LAS,"DT,GR",2,MD,487397,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
