API_UWI,Unformatted_API_UWI,API_UWI_12,Unformatted_API_UWI_12,API_UWI_14,Unformatted_API_UWI_14,WellID,CompletionID,WellPadID,WellPadDirection,ENVWellGrouping,CompletionNumber,WellName,Country,StateProvince,County,Lease,LeaseName,ENVOperator,RawOperator,InitialOperator,ENVTicker,ENV_Peer_Group,ENVCompanyType,ENV_Stock_Exchange,ENVWellServiceProvider,ENVProdWellType,StateWellType,ENVWellType,ENVProducingMethod,ENVRegion,ENVBasin,ENVPlay,ENVSubPlay,ENVInterval,ENVIntervalSource,ENVWellStatus,ENVWellboreStatus,OnConfidential,OffConfidentialDate,Trajectory,ENVWellboreType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,District,Field,Survey,Block,Abstract,Platform,Section,Township,Range,Section_Township_Range,Unit_Name,WellNumber,SurfaceLatitudeLongitudeSource,PlugDate,PlugbackMeasuredDepth_FT,PlugbackTrueVerticalDepth_FT,AvgBreakdownPressure_PSI,AvgClusterSpacingPerStage_FT,AvgClusterSpacing_FT,AvgFracGradient_PSIPerFT,AvgISIP_PSI,AvgMillTime_Min,AvgPortSleeveOpeningPressure_PSI,AvgShotsPerCluster,AvgShotsPerFt,AvgTreatmentPressure_PSI,AvgTreatmentRate_BBLPerMin,"ClustersPer1,000Ft",ClustersPerStage,"ShotsPer1,000Ft",ShotsPerStage,TotalShots,AvgFluidPerCluster_BBL,AvgFluidPerShot_BBL,AvgFluidPerStage_BBL,FracRigOnsiteDate,FracRigReleaseDate,AvgProppantPerCluster_LBS,AvgProppantPerShot_LBS,AvgProppantPerStage_LBS,StimulatedStages,TotalClusters,Vintage,FirstProdQuarter,FirstProdMonth,ENVElevationKB_FT,ENVElevationKBSource,ENVElevationGL_FT,ENVElevationGLSource,ElevationKB_FT,ElevationGL_FT,CoordinateSource,PermitApprovedDate,PermitSubmittedDate,SpudDate,DrillingEndDate,RigReleaseDate,CompletionDate,FirstRigDay,ENVCompInsertedDate,StateFileNumber,ENVFracJobType,ENVFluidType,CompletionTime_DAYS,CompletionDesign,PermitToSpud_DAYS,SpudToRigRelease_DAYS,SpudToCompletion_DAYS,SpudToSales_DAYS,SoakTime_DAYS,NumberOfStrings,UpperPerf_FT,LowerPerf_FT,PerfInterval_FT,LateralLength_FT,FracStages,AverageStageSpacing_FT,ENVProppantBrand,ProppantLoading_LBSPerGAL,ENVProppantType,ProppantIntensity_LBSPerFT,Proppant_LBS,TotalWaterPumped_GAL,WaterIntensity_GALPerFT,TotalFluidPumped_BBL,FluidIntensity_BBLPerFT,AcidVolume_BBL,Bottom_Hole_Temp_DEGF,Biocide_LBS,Breaker_LBS,Buffer_LBS,ClayControl_LBS,CrossLinker_LBS,FrictionReducer_LBS,GellingAgent_LBS,IronControl_LBS,ScaleInhibitor_LBS,Surfactant_LBS,Energizer_LBS,Diverter_LBS,TestDate,ChokeSize_64IN,TestRate_BOEPerDAY,TestRate_BOEPerDAYPer1000FT,TestRate_MCFEPerDAY,OilTestRate_BBLPerDAY,OilTestRate_BBLPerDAYPer1000FT,GasTestRate_MCFPerDAY,GasTestRate_MCFPerDAYPer1000FT,WaterTestRate_BBLPerDAY,WaterTestRate_BBLPerDAYPer1000Ft,WaterDepth,TestWHLiquids_PCT,CasingPressure_PSI,FlowingTubingPressure_PSI,ShutInPressure_PSI,OilProdPriorTest_BBL,OilTestMethodName,OilGravity_API,GasGravity_SG,First3MonthProd_BOE,First3MonthProd_BOEPer1000FT,First3MonthGas_MCF,First3MonthGas_MCFPer1000FT,First3MonthProd_MCFE,First3MonthProd_MCFEPer1000FT,First3MonthOil_BBL,First3MonthOil_BBLPer1000FT,First3MonthWater_BBL,First6MonthProd_BOE,First6MonthProd_BOEPer1000FT,First6MonthGas_MCF,First6MonthGas_MCFPer1000FT,First6MonthProd_MCFE,First6MonthProd_MCFEPer1000FT,First6MonthOil_BBL,First6MonthOil_BBLPer1000FT,First6MonthWater_BBL,First9MonthProd_BOE,First9MonthProd_BOEPer1000FT,First9MonthGas_MCF,First9MonthGas_MCFPer1000FT,First9MonthProd_MCFE,First9MonthProd_MCFEPer1000FT,First9MonthOil_BBL,First9MonthOil_BBLPer1000FT,First9MonthWater_BBL,First12MonthProd_BOE,First12MonthProd_BOEPer1000FT,First12MonthGas_MCF,First12MonthGas_MCFPer1000FT,First12MonthProd_MCFE,First12MonthProd_MCFEPer1000FT,First12MonthOil_BBL,First12MonthOil_BBLPer1000FT,First12MonthWater_BBL,First36MonthProd_BOE,First36MonthProd_BOEPer1000FT,First36MonthGas_MCF,First36MonthGas_MCFPer1000FT,First36MonthProd_MCFE,First36MonthProd_MCFEPer1000FT,First36MonthOil_BBL,First36MonthOil_BBLPer1000FT,First36MonthWater_BBL,First36MonthWaterProductionBBLPer1000Ft,PeakProductionDate,MonthsToPeakProduction,PeakProd_BOE,PeakProd_BOEPer1000FT,PeakGas_MCF,PeakGas_MCFPer1000FT,PeakProd_MCFE,PeakProd_MCFEPer1000FT,PeakOil_BBL,PeakOil_BBLPer1000FT,PeakWater_BBL,CumProd_BOE,CumProd_BOEPer1000FT,CumGas_MCF,CumGas_MCFPer1000FT,CumProd_MCFE,CumProd_MCFEPer1000FT,CumOil_BBL,CumOil_BBLPer1000FT,CumWater_BBL,TotalProducingMonths,LastProducingMonth,LastMonthLiquidsProduction_BBL,LastMonthGasProduction_MCF,LastMonthWaterProduction_BBL,Last12MonthBOEProduction,Last12MonthGasProduction_MCF,Last12MonthOilProduction_BBL,Last12MonthWaterProduction_BBL,WHLiquids_PCT,GOR_ScfPerBbl,CumulativeSOR,Last3MonthISOR,TopOfZone_FT,BottomOfZone_FT,SubseaTopDepth_FT,SubseaBaseDepth_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,InjectorWellClass,SpudDateSource,TestRate_MCFEPerDAYPer1000FT,FirstProdYear
42-389-36536,4238936536,42-389-36536-00,423893653600,42-389-36536-00-00,42389365360000,840420004680161,840421006226022,42-389-36536,,,1,REEVES TXL FEE T8-50-5 2SW,US,TX,REEVES,,REEVES TXL FEE T8-50-5,CHEVRON,CHEVRON U. S. A. INC.,CHEVRON,CVX,MAJOR,PUBLIC,NYSE,CUDD,,SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INJECTING,INJECTING,,,VERTICAL,SINGLE BORE,CHERRY CANYON,,31.173788,-103.352445,31.174370,-103.351977,6721,6730,08,"HAMON, NORTHWEST",T&P RR CO,50,712,,05,8S,,,,2SW,REPORTED,,6519,6519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,ACTUAL,2774,ACTUAL,2791,2774,ACTUAL,2017-11-17,2017-11-16,2018-04-06,2018-06-04,2018-06-04,2018-06-13,2018-04-04,2020-10-31,,CROSSLINK HC,FRESH WATER,1,,140,59,68,,,2,5322,6240,918,,1,,,0.87,SAND ONLY,726,666140,765324,834,18222,20,447,,,1747,,,4512,2542,13075,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,Reported,,
42-389-32626,4238932626,42-389-32626-00,423893262600,42-389-32626-00-00,42389326260000,840420002956028,840421002371068,42-389-32626,,,1,PANTHER 23 1,US,TX,REEVES,40472,PANTHER 23,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,J CLEO THOMPSON,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,,OIL (40%+ WH LIQUIDS),OIL,OIL,GAS LIFT,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,PRODUCING,PRODUCING,,,VERTICAL,SINGLE BORE,WOLFCAMP,2010-08-01,31.213786,-103.243355,31.214072,-103.243560,12268,12270,08,WOLFBONE,PSL,C1,4548,,23,,,,PANTHER 23,1,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,974006,,,2010,2010-Q3,2010 / 08,2742,ACTUAL,2725,ACTUAL,2742,2725,ACTUAL,2010-01-29,2010-01-21,2010-06-04,2010-07-16,2010-07-16,2010-08-14,,2016-04-03,,,,,,126,42,71,73,,3,9343,12725,3382,,,,,,SAND + CERAMIC,288,974006,,,,,,174.1,,,,,,,,,,,,,2010-09-14,18,135,,808,108,,160,,322,,,80,200,,,,GAS LIFT,42.00,,5062,,0,,30372,,5062,,0,16221,,20504,,97328,,12804,,0,18531,,22850,,111188,,14723,,0,20783,,25612,,124696,,16514,,0,37462,,47806,,224770,,29494,,0,,2010-12-01,5,4455,,9832,,26728,,3567,,14118,67445,,85170,,404671,,53250,,232803,169,2024-08-01,205,458,1256,2725,3675,2113,16335,79,1599,,,,,,,,,,,,,,,,,,,,,Reported,,2010
42-389-10428,4238910428,42-389-10428-00,423891042800,42-389-10428-00-00,42389104280000,840420003198262,840421002748454,42-389-10428,,,1,REEVES TXL FEE UNIT 1,US,TX,REEVES,039620,REEVES TXL FEE UNIT,CHEVRON,CHEVRON U. S. A. INC.,CHEVRON,CVX,MAJOR,PUBLIC,NYSE,,DRY GAS (0-1% WH LIQUIDS),GAS,GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,PRODUCING,PRODUCING,,,VERTICAL,SINGLE BORE,ELLENBURGER,1966-08-01,31.189561,-103.317441,31.189561,-103.317441,20800,20800,08,TORO,T&P RR CO,50,6017,,46,7S,,,,1,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,*Pre-2010,*Pre-2010,2790,ACTUAL,2776,ACTUAL,2790,2776,,,,1965-09-01,,,1966-07-26,,2022-12-06,,,,,,,,328,349,,,19895,20735,840,,,,,,,,,,,,,,,,,,,,,,,,,,,1977-10-10,,39,,236,,,236,,,,,,,563,,,,,,10660,,63958,,63958,,0,,0,19975,,119852,,119852,,0,,0,57395,,344370,,344370,,0,,0,110378,,662268,,662268,,0,,0,2208149,,13248894,,13248894,,0,,0,,1968-10-01,27,132927,,797560,,797560,,0,,0,8203884,,49223304,,49223304,,0,,0,699,2024-10-01,0,30757,0,72594,435565,0,0,0,,,,,,,,,,,,,,,,,,,,,,Reported,,*Pre-2010
42-371-39747,4237139747,42-371-39747-00,423713974700,42-371-39747-00-00,42371397470000,840420005269890,840421006263374,42-371-39747,,,1,EL KABONG UNIT 48-18-7 1D,US,TX,PECOS,,EL KABONG UNIT 48-18-7,EXXON,XTO ENERGY INC.,XTO ENERGY,XOM,MAJOR,PUBLIC,NYSE,NOT REPORTED,,SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INACTIVE INJECTOR,INACTIVE INJECTOR,,,VERTICAL,SINGLE BORE,CANYON,,31.154139,-103.164427,31.154398,-103.164210,7734,7738,08,ROJO CABALLOS,T&P RR CO,48,5269,,18,8S,,,,1D,REPORTED,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,2738,ACTUAL,2719,ACTUAL,2738,2719,ACTUAL,2018-05-08,2018-05-07,2018-12-01,2018-12-13,2018-12-13,2018-12-14,2018-11-30,2023-12-08,,,,,,207,12,13,,,2,5702,7095,1393,,1,,,,,,,9299,7,221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,Reported,,
42-371-39981,4237139981,42-371-39981-01,423713998101,42-371-39981-01-00,42371399810100,840420005365554,840421008330342,42-371-39981,S,,,SOUTH SMARTY JONES STATE 28-33 1HA,US,TX,PECOS,54731,SOUTH SMARTY JONES STATE 28-33,MANTI TARKA PERMIAN,MANTI TARKA PERMIAN OP  LLC,MANTI RESOURCES,MANTI TARKA PERMIAN*,NON-PE-BACKED PRIVATE,PRIVATE,,,OIL (40%+ WH LIQUIDS),OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,UNREPORTED,,,HORIZONTAL,SIDETRACK,WOLFCAMP,2022-02-01,31.129219,-103.233207,31.125149,-103.233388,10424,11640,08,PHANTOM,T&P RR CO,49,956,,21,8S,,,SOUTH SMARTY JONES STATE 28-33,1HA,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2022-Q1,2022 / 02,2798,ACTUAL,2772,ACTUAL,2798,2772,ACTUAL,2019-01-30,2019-01-29,2019-08-05,,2019-10-06,,2019-09-04,,,,,,,187,62,,926,,3,,,,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,2022
42-371-39981,4237139981,42-371-39981-00,423713998100,42-371-39981-00-00,42371399810000,840420005365554,840421006629412,42-371-39981,S,,1,SOUTH SMARTY JONES STATE 28-33 1HA,US,TX,PECOS,54731,SOUTH SMARTY JONES STATE 28-33,MANTI TARKA PERMIAN,MANTI TARKA PERMIAN OP  LLC,MANTI RESOURCES,MANTI TARKA PERMIAN*,NON-PE-BACKED PRIVATE,PRIVATE,,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL,OIL,GAS LIFT,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,LATERAL,WOLFCAMP,2022-02-01,31.129219,-103.233207,31.098965,-103.233513,10439,21202,08,PHANTOM,T&P RR CO,49,956,,21,8S,,,SOUTH SMARTY JONES STATE 28-33,1HA,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2022-Q1,2022 / 02,2798,ACTUAL,2772,ACTUAL,2798,2772,ACTUAL,2019-01-30,2019-01-29,2019-08-05,2019-10-06,2019-10-06,2022-02-08,2019-09-04,2022-03-11,,SLICKWATER HC,FRESH WATER,12,,187,62,918,926,30,3,10697,21018,10321,10484,,,"100 MESH REGIONAL | 40/70 REGIONAL",1.03,SAND ONLY,2516,25963374,25118654,2434,598063,58,1054,,7038,,,60827,,56252,,483,11617,57227,,,2022-03-10,128,648,63,3886,544,53,622,60,3151,305,,84,1170,290,,13706,GAS LIFT,43.00,,42657,4133,50427,4886,255939,24798,34252,3319,359854,77179,7478,99378,9629,463074,44867,60616,5873,619027,101329,9818,129442,12542,607972,58906,79755,7727,790944,118174,11450,146225,14168,709043,68699,93803,9089,906239,,,,,,,,,,,2022-03-01,2,17474,1693,20257,1963,104845,10158,14234,1379,152403,215238,20854,263698,25550,1291426,125126,171288,16596,1358076,33,2024-10-01,3793,7124,16310,55564,68304,44180,221298,80,1540,,,10363,10626,-7574,-7839,268,85.03,2.52,82.43,0.116,0.083,0.24,0.67,0.21,22.31,0.065,17.4,3.39,,Reported,377,2022
42-389-32105,4238932105,42-389-32105-00,423893210500,42-389-32105-00-00,42389321050000,840420003198471,840421003970909,42-389-32105,,,1,HAMON '215008' 1,US,TX,REEVES,,HAMON '215008',CONOCOPHILLIPS,BURLINGTON RESOURCES O & G CO LP,CONOCO PHILLIPS,COP,LARGE CAP,PUBLIC,NYSE,NOT REPORTED,,GAS,GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,P & A,P & A,,,VERTICAL,SINGLE BORE,WOLFCAMP,,31.129201,-103.324645,31.129201,-103.324645,12572,12572,08,WILDCAT,T&P RR CO,50,719,,21,8S,,,,1,REPORTED,2000-12-28,12550,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,2822,ACTUAL,2794,ACTUAL,2822,2794,,1996-10-09,1996-10-07,1996-10-19,1996-12-22,1996-12-22,1997-03-17,,2016-04-03,,,,,,10,64,149,,,3,12116,12446,330,,1,,,,,,,13899,42,331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,
42-389-36806,4238936806,42-389-36806-00,423893680600,42-389-36806-00-00,42389368060000,840420004733931,840421006234256,42-389-36773,S,,1,EAST TORO 32 STATE UNIT 2H,US,TX,REEVES,51523,EAST TORO 32 STATE UNIT,CHEVRON,CHEVRON U. S. A. INC.,ELK RIVER RESOURCES,CVX,MAJOR,PUBLIC,NYSE,CALFRAC,OIL (40%+ WH LIQUIDS),OIL,OIL,GAS LIFT,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A UPPER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2018-10-01,31.230667,-103.345054,31.200546,-103.343418,10590,21250,08,WOLFBONE,T&P RR CO,50,701,,29,7S,,,EAST TORO 32 STATE UNIT,2H,REPORTED,,21153,10365,,,,,,,,,,,,,,,,,,,854578,,,,,24831190,,,2018,2018-Q4,2018 / 10,2803,ACTUAL,2778,ACTUAL,2803,2778,ACTUAL,2018-02-09,2018-02-06,2018-06-07,2018-07-15,2018-07-15,2018-07-15,2018-06-09,2019-05-25,,SLICKWATER,UNKNOWN,25,,118,38,38,131,78,3,10888,20877,9989,10448,,,,0.69,SAND ONLY,2486,24831190,35892276,3593,854578,86,1116,,,,,,,0,,,,,,,2018-12-09,25,1723,172,10336,1535,154,1126,113,2112,211,,89,1000,,,24132,GAS LIFT,40.00,,45431,4548,42561,4261,272584,27288,38337,3838,109720,103294,10341,100597,10071,619767,62045,86528,8662,214739,135867,13602,153348,15352,815204,81610,110309,11043,268236,177413,17761,221654,22190,1064478,106565,140471,14063,337781,399445,39988,672528,67327,2396669,239931,287357,28767,716202,71699,2019-02-01,5,27801,2783,49959,5001,166804,16699,22886,2291,64619,534674,53526,867963,86892,3208043,321158,390013,39044,1060263,73,2024-10-01,1828,2425,7418,17606,20698,14156,55515,73,2225,,,10407,10534,-7614,-7743,127,85.29,2.54,161.24,0.102,0.077,0.23,0.69,0.32,9.80,0.056,7.1,3.99,,Reported,1035,2018
42-389-39424,4238939424,42-389-39424-00,423893942400,42-389-39424-00-00,42389394240000,840420005602560,840421006925118,42-389-34390,S,,1,REEDBUCK STATE UNIT 25A61 61H,US,TX,REEVES,56573,REEDBUCK STATE UNIT 25A61,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,"PRI OPERATING, LLC",OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,CUDD,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,2ND BONE SPRING,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,BONE SPRING,2021-11-01,31.200024,-103.268463,31.171486,-103.268552,9352,19559,08,SANDBAR,PSL,C1,1325,,25,,,,REEDBUCK STATE UNIT 25A61,61H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021-Q4,2021 / 11,2760,ACTUAL,2735,ACTUAL,2760,2735,ACTUAL,2021-06-08,2021-05-07,2021-07-27,2021-08-15,2021-08-15,2021-11-06,2021-07-28,2021-11-04,,SLICKWATER HC,FRESH WATER,11,,49,19,102,112,26,4,9675,19451,9776,9923,,,,0.96,SAND ONLY,3001,29338550,30444582,3114,724871,74,38,,,,,,,235231,,71,90470,,,,2021-12-02,54,1177,120,7062,1065,109,672,69,3999,409,,90,660,,,17012,PUMPING,41.00,,67028,6856,41861,4282,402167,41138,60051,6143,288615,116559,11923,80570,8242,699356,71538,103131,10549,511927,167014,17084,118545,12126,1002087,102505,147257,15063,758988,216541,22150,153426,15694,1299246,132902,190970,19535,1022874,,,,,,,,,,,2021-12-01,2,29835,3052,21522,2202,179011,18311,26784,2740,142391,437537,44756,388188,39708,2625222,268537,372839,38138,2460820,34,2024-08-01,3219,6402,35006,100556,116215,81187,746699,85,1041,,,9203,9447,-6438,-6685,247,92.79,2.51,113.63,0.116,0.089,0.23,0.69,0.14,21.97,0.073,18.0,3.68,,Reported,722,2021
42-389-39661,4238939661,42-389-39661-00,423893966100,42-389-39661-00-00,42389396610000,840420019353544,840421007057676,42-389-39661,N,,1,VIPER 14N62 62H,US,TX,REEVES,57474,VIPER 14N62,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,"PRI OPERATING, LLC",OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,CUDD,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,2ND BONE SPRING,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,BONE SPRING,2022-05-01,31.217252,-103.244359,31.244575,-103.245136,9537,19887,08,SANDBAR,PSL,C1,4545,,14,,,,VIPER 14N62,62H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2022-Q2,2022 / 05,2747,ACTUAL,2724,ACTUAL,2747,2724,ACTUAL,2021-10-28,2021-10-20,2022-01-17,2022-02-14,2022-02-14,2022-05-23,2021-12-22,2022-05-20,,SLICKWATER HC,FRESH WATER,11,,81,28,126,119,58,4,9847,19782,9935,10087,,,,1.00,SAND ONLY,2935,29158180,29270598,2946,696919,70,38,,,6617,,,,362136,,71,89207,210216,,,2022-07-20,64,724,73,4346,648,65,458,46,5459,549,,89,220,360,,16156,PUMPING,41.00,,27187,2737,19112,1924,163124,16419,24002,2416,231636,88510,8909,63610,6403,531058,53453,77908,7842,719749,124313,12513,92468,9307,745880,75076,108902,10961,998213,157637,15867,127004,12783,945824,95201,136470,13736,1238515,,,,,,,,,,,2022-08-01,4,24008,2417,19712,1984,144049,14499,21273,2141,187347,277344,27916,335140,33733,1664062,167495,221487,22294,1919265,28,2024-08-01,4116,10898,30128,76072,138186,53041,411379,80,1513,,,9432,9724,-6718,-7008,290,70.62,2.54,261.02,0.097,0.081,0.17,0.75,0.19,23.42,0.070,20.4,3.20,,Reported,437,2022
