event,event,event,event,event,event,loc,loc,loc,loc,loc,loc,loc,loc,loc,method,method,method,method,method,method,method,method,method,method,method,method,creation,creation,creation,creation,creation,creation,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,mag,mag,mag,mag,mag,mag
id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,preferred_description,confidence_level,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,agency_id,agency_uri,author,author_uri,creation_time,version,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,mag,uncertainty,type,method_id,station_count,evaluation_status
2000iwlj,earthquake,,us,manual,reviewed,2018-12-23 08:46:26.110000,-104.5022,0.0095,31.651,0.0306,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,2900.0,5200.0,5.0,confidence ellipsoid,90.0,5200.0,1300.0,2900.0,4.0,5.0,0.0,us,smi:anss.org/metadata/agencyid/us,,,2019-01-20T08:46:29.000000Z,24,41,21,,,,0.5,69.0,112.0,,0.489,,,3.0,0.105,ML,1.0,62,reviewed
2000iwl0,earthquake,,us,manual,reviewed,2018-12-23 08:08:39.350000,-104.5072,0.0232,31.6696,0.0234,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2400.0,3300.0,4000.0,343.0,confidence ellipsoid,90.0,4000.0,2900.0,3300.0,3.0,343.0,292.0,us,smi:anss.org/metadata/agencyid/us,,,2019-01-20T08:08:42.000000Z,36,28,17,,,,0.66,85.0,128.0,,0.482,,,2.8,0.115,ML,1.0,32,reviewed
2000i6lz,earthquake,,us,manual,reviewed,2018-11-04 06:20:26.700000,-104.5739,0.0233,31.7416,0.0243,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2400.0,3200.0,4200.0,344.0,confidence ellipsoid,90.0,4200.0,2900.0,3200.0,12.0,344.0,272.0,us,smi:anss.org/metadata/agencyid/us,,,2018-11-29T09:56:33.000000Z,25,24,16,,,,0.3,107.0,135.0,,0.498,,,2.6,0.085,ML,1.0,18,reviewed
1000g1h4,earthquake,,us,manual,reviewed,2018-08-02 01:24:12.840000,-104.4311,0.018,31.6675,0.0495,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2900.0,3600.0,8400.0,353.0,confidence ellipsoid,90.0,8400.0,1100.0,3600.0,1.0,353.0,323.0,us,smi:anss.org/metadata/agencyid/us,,,2018-09-11T22:18:25.000000Z,39,24,24,,,,1.07,79.0,124.0,,0.43,,,2.6,0.128,ML,1.0,32,reviewed
2000g596,earthquake,,us,manual,reviewed,2018-07-14 23:48:37.820000,-104.5025,0.0307,31.6928,0.0414,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,3600.0,4200.0,7100.0,345.0,confidence ellipsoid,90.0,7100.0,2900.0,4200.0,3.0,345.0,274.0,us,smi:anss.org/metadata/agencyid/us,,,2018-08-03T03:36:47.000000Z,39,40,40,,,,0.67,62.0,104.0,,0.466,,,2.6,0.091,ML,1.0,24,reviewed
2000g01a,earthquake,,us,manual,reviewed,2018-07-09 02:53:46.410000,-104.492,0.0106,31.6852,0.0171,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,2900.0,3000.0,194.0,confidence ellipsoid,90.0,3000.0,1300.0,2900.0,27.0,194.0,0.0,us,smi:anss.org/metadata/agencyid/us,,,2018-07-18T04:44:56.000000Z,22,38,23,,,,0.24,68.0,111.0,,0.462,,,2.9,0.074,ML,1.0,60,reviewed
2000fvux,earthquake,,us,manual,reviewed,2018-07-03 13:07:07.200000,-104.5128,0.0348,31.6073,0.0108,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1600.0,3000.0,5200.0,253.0,confidence ellipsoid,90.0,5200.0,1200.0,3000.0,3.0,253.0,179.0,us,smi:anss.org/metadata/agencyid/us,,,2018-08-12T13:36:03.000000Z,63,30,20,,,,0.5,83.0,145.0,,0.522,,,2.5,0.128,ML,1.0,20,reviewed
2000frfq,earthquake,,us,manual,reviewed,2018-06-29 15:53:49.910000,-104.4899,0.0169,31.6637,0.0171,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,2700.0,3100.0,7.0,confidence ellipsoid,90.0,3100.0,2400.0,2700.0,47.0,7.0,3.0,us,smi:anss.org/metadata/agencyid/us,,,2018-08-06T19:53:29.000000Z,41,30,22,,,,0.38,67.0,110.0,,0.607,,,2.9,0.105,ML,1.0,22,reviewed
2000fptb,earthquake,,us,manual,reviewed,2018-06-28 03:16:32.810000,-104.5146,0.0211,31.6422,0.0423,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,3000.0,3000.0,7200.0,5.0,confidence ellipsoid,90.0,7200.0,2800.0,3000.0,3.0,5.0,42.0,us,smi:anss.org/metadata/agencyid/us,,,2018-07-30T23:14:31.000000Z,28,27,27,,,,0.86,69.0,126.0,,0.615,,,2.6,0.128,ML,1.0,22,reviewed
1000ecgq,earthquake,,us,manual,reviewed,2018-05-25 22:34:30.580000,-104.0002,0.0349,31.632,0.0144,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,2900.0,5500.0,246.0,confidence ellipsoid,90.0,5500.0,1300.0,2900.0,10.0,246.0,4.0,us,smi:anss.org/metadata/agencyid/us,,,2018-06-09T22:43:41.000000Z,48,32,31,,,,0.91,95.0,101.0,,0.284,,,2.7,0.077,ML,1.0,22,reviewed
