longitude,latitude,gap
-104.84329,31.3961,171.72
-104.84329,31.4061,171.96
-104.84329,31.4161,172.20
-104.84329,31.4261,172.44
-104.84329,31.4361,172.68
-104.84329,31.4461,172.91
-104.84329,31.4561,173.14
-104.84329,31.4661,173.38
-104.84329,31.4761,173.61
-104.84329,31.4861,173.84
-104.84329,31.4961,174.07
-104.84329,31.5061,174.31
-104.84329,31.5161,174.54
-104.84329,31.5261,174.78
-104.84329,31.5361,175.02
-104.84329,31.5461,175.27
-104.84329,31.5561,175.52
-104.84329,31.5661,175.77
-104.84329,31.5761,176.03
-104.84329,31.5861,176.30
-104.84329,31.5961,176.58
-104.84329,31.6061,176.86
-104.84329,31.6161,177.16
-104.84329,31.6261,177.47
-104.84329,31.6361,177.79
-104.84329,31.6461,178.13
-104.84329,31.6561,178.48
-104.84329,31.6661,178.86
-104.84329,31.6761,179.26
-104.84329,31.6861,179.69
-104.84329,31.6961,180.16
-104.84329,31.7061,180.66
-104.84329,31.7161,181.21
-104.84329,31.7261,181.81
-104.84329,31.7361,182.48
-104.84329,31.7461,183.22
-104.84329,31.7561,184.06
-104.84329,31.7661,185.02
-104.84329,31.7761,186.12
-104.84329,31.7861,187.41
-104.84329,31.7961,188.94
-104.84329,31.8061,190.78
-104.84329,31.8161,193.06
-104.84329,31.8261,193.49
-104.84329,31.8361,193.59
-104.84329,31.8461,193.69
-104.84329,31.8561,193.79
-104.84329,31.8661,193.89
-104.84329,31.8761,193.99
-104.84329,31.8861,194.09
-104.84329,31.8961,194.19
-104.84329,31.9061,194.29
-104.83329,31.3961,169.96
-104.83329,31.4061,170.19
-104.83329,31.4161,170.42
-104.83329,31.4261,170.65
-104.83329,31.4361,170.87
-104.83329,31.4461,171.09
-104.83329,31.4561,171.31
-104.83329,31.4661,171.52
-104.83329,31.4761,171.74
-104.83329,31.4861,171.95
-104.83329,31.4961,172.16
-104.83329,31.5061,172.37
-104.83329,31.5161,172.58
-104.83329,31.5261,172.79
-104.83329,31.5361,173.01
-104.83329,31.5461,173.22
-104.83329,31.5561,173.43
-104.83329,31.5661,173.65
-104.83329,31.5761,173.87
-104.83329,31.5861,174.10
-104.83329,31.5961,174.33
-104.83329,31.6061,174.56
-104.83329,31.6161,174.80
-104.83329,31.6261,175.05
-104.83329,31.6361,175.31
-104.83329,31.6461,175.57
-104.83329,31.6561,175.85
-104.83329,31.6661,176.15
-104.83329,31.6761,176.46
-104.83329,31.6861,176.79
-104.83329,31.6961,177.14
-104.83329,31.7061,177.51
-104.83329,31.7161,177.92
-104.83329,31.7261,178.37
-104.83329,31.7361,178.86
-104.83329,31.7461,179.40
-104.83329,31.7561,180.01
-104.83329,31.7661,180.70
-104.83329,31.7761,181.50
-104.83329,31.7861,182.43
-104.83329,31.7961,183.53
-104.83329,31.8061,184.87
-104.83329,31.8161,186.53
-104.83329,31.8261,188.66
-104.83329,31.8361,191.48
-104.83329,31.8461,193.14
-104.83329,31.8561,193.25
-104.83329,31.8661,193.35
-104.83329,31.8761,193.46
-104.83329,31.8861,193.56
-104.83329,31.8961,193.66
-104.83329,31.9061,193.76
-104.82329,31.3961,168.19
-104.82329,31.4061,168.42
-104.82329,31.4161,168.64
-104.82329,31.4261,168.85
-104.82329,31.4361,169.06
-104.82329,31.4461,169.27
-104.82329,31.4561,169.47
-104.82329,31.4661,169.67
-104.82329,31.4761,169.87
-104.82329,31.4861,170.06
-104.82329,31.4961,170.25
-104.82329,31.5061,170.44
-104.82329,31.5161,170.62
-104.82329,31.5261,170.80
-104.82329,31.5361,170.99
-104.82329,31.5461,171.17
-104.82329,31.5561,171.35
-104.82329,31.5661,171.53
-104.82329,31.5761,171.71
-104.82329,31.5861,171.89
-104.82329,31.5961,172.07
-104.82329,31.6061,172.25
-104.82329,31.6161,172.44
-104.82329,31.6261,172.63
-104.82329,31.6361,172.82
-104.82329,31.6461,173.01
-104.82329,31.6561,173.22
-104.82329,31.6661,173.42
-104.82329,31.6761,173.64
-104.82329,31.6861,173.86
-104.82329,31.6961,174.10
-104.82329,31.7061,174.34
-104.82329,31.7161,174.61
-104.82329,31.7261,174.89
-104.82329,31.7361,175.19
-104.82329,31.7461,175.53
-104.82329,31.7561,175.90
-104.82329,31.7661,176.31
-104.82329,31.7761,176.78
-104.82329,31.7861,177.32
-104.82329,31.7961,177.95
-104.82329,31.8061,178.72
-104.82329,31.8161,179.67
-104.82329,31.8261,180.89
-104.82329,31.8361,182.52
-104.82329,31.8461,184.83
-104.82329,31.8561,188.38
-104.82329,31.8661,192.81
-104.82329,31.8761,192.92
-104.82329,31.8861,193.03
-104.82329,31.8961,193.13
