longitude,latitude,gap
-103.99890,30.79960,125.74
-103.99890,30.80960,124.43
-103.99890,30.81960,123.14
-103.99890,30.82960,121.87
-103.99890,30.83960,120.62
-103.99890,30.84960,119.39
-103.99890,30.85960,118.17
-103.99890,30.86960,116.97
-103.99890,30.87960,115.79
-103.99890,30.88960,114.63
-103.99890,30.89960,113.48
-103.99890,30.90960,112.34
-103.99890,30.91960,111.22
-103.99890,30.92960,110.12
-103.99890,30.93960,109.03
-103.99890,30.94960,107.95
-103.99890,30.95960,106.89
-103.99890,30.96960,105.84
-103.99890,30.97960,104.81
-103.99890,30.98960,103.79
-103.99890,30.99960,102.78
-103.99890,31.00960,101.78
-103.99890,31.01960,100.80
-103.99890,31.02960,99.83
-103.99890,31.03960,98.87
-103.99890,31.04960,97.93
-103.99890,31.05960,96.99
-103.99890,31.06960,96.07
-103.99890,31.07960,95.16
-103.99890,31.08960,94.26
-103.99890,31.09960,93.38
-103.99890,31.10960,92.50
-103.99890,31.11960,91.63
-103.99890,31.12960,90.78
-103.99890,31.13960,89.94
-103.99890,31.14960,89.10
-103.99890,31.15960,88.28
-103.99890,31.16960,87.47
-103.99890,31.17960,86.67
-103.99890,31.18960,85.87
-103.99890,31.19960,85.09
-103.99890,31.20960,84.32
-103.99890,31.21960,83.56
-103.99890,31.22960,82.80
-103.99890,31.23960,82.06
-103.99890,31.24960,81.33
-103.99890,31.25960,80.60
-103.99890,31.26960,79.89
-103.99890,31.27960,79.18
-103.99890,31.28960,78.49
-103.99890,31.29960,77.80
-103.99890,31.30960,77.12
-103.99890,31.31960,76.45
-103.99890,31.32960,74.60
-103.99890,31.33960,72.85
-103.99890,31.34960,71.28
-103.99890,31.35960,69.85
-103.99890,31.36960,69.17
-103.99890,31.37960,68.72
-103.99890,31.38960,68.25
-103.99890,31.39960,67.75
-103.99890,31.40960,67.23
-103.99890,31.41960,66.68
-103.99890,31.42960,66.10
-103.99890,31.43960,65.50
-103.99890,31.44960,64.88
-103.99890,31.45960,64.23
-103.99890,31.46960,63.56
-103.99890,31.47960,62.86
-103.99890,31.48960,62.14
-103.99890,31.49960,61.39
-103.99890,31.50960,60.63
-103.99890,31.51960,58.56
-103.99890,31.52960,55.43
-103.99890,31.53960,54.85
-103.99890,31.54960,54.30
-103.99890,31.55960,53.75
-103.99890,31.56960,53.22
-103.99890,31.57960,52.12
-103.99890,31.58960,46.21
-103.99890,31.59960,41.38
-103.99890,31.60960,37.42
-103.99890,31.61960,34.14
-103.99890,31.62960,31.38
-103.99890,31.63960,29.04
-103.99890,31.64960,27.03
-103.99890,31.65960,29.92
-103.99890,31.66960,32.62
-103.99890,31.67960,29.19
-103.99890,31.68960,23.70
-103.99890,31.69960,22.42
-103.99890,31.70960,26.38
-103.98890,30.79960,124.98
-103.98890,30.80960,123.68
-103.98890,30.81960,122.41
-103.98890,30.82960,121.15
-103.98890,30.83960,119.91
-103.98890,30.84960,118.69
-103.98890,30.85960,117.49
-103.98890,30.86960,116.31
-103.98890,30.87960,115.14
-103.98890,30.88960,113.99
-103.98890,30.89960,112.85
-103.98890,30.90960,111.73
-103.98890,30.91960,110.62
-103.98890,30.92960,109.53
-103.98890,30.93960,108.45
-103.98890,30.94960,107.39
-103.98890,30.95960,106.34
-103.98890,30.96960,105.30
-103.98890,30.97960,104.28
-103.98890,30.98960,103.27
-103.98890,30.99960,102.28
-103.98890,31.00960,101.29
-103.98890,31.01960,100.32
-103.98890,31.02960,99.36
-103.98890,31.03960,98.42
-103.98890,31.04960,97.48
-103.98890,31.05960,96.56
-103.98890,31.06960,95.65
-103.98890,31.07960,94.75
-103.98890,31.08960,93.86
-103.98890,31.09960,92.98
-103.98890,31.10960,92.12
-103.98890,31.11960,91.26
-103.98890,31.12960,90.42
-103.98890,31.13960,89.58
-103.98890,31.14960,88.76
-103.98890,31.15960,87.94
-103.98890,31.16960,87.14
-103.98890,31.17960,86.35
-103.98890,31.18960,85.56
-103.98890,31.19960,84.79
-103.98890,31.20960,84.03
-103.98890,31.21960,83.27
-103.98890,31.22960,82.53
-103.98890,31.23960,81.79
-103.98890,31.24960,81.07
-103.98890,31.25960,80.35
-103.98890,31.26960,79.64
-103.98890,31.27960,78.94
-103.98890,31.28960,78.25
-103.98890,31.29960,76.65
-103.98890,31.30960,74.45
-103.98890,31.31960,72.57
-103.98890,31.32960,70.91
-103.98890,31.33960,69.56
-103.98890,31.34960,69.19
-103.98890,31.35960,68.79
-103.98890,31.36960,68.37
-103.98890,31.37960,67.93
-103.98890,31.38960,67.46
-103.98890,31.39960,66.97
-103.98890,31.40960,66.45
-103.98890,31.41960,65.91
-103.98890,31.42960,65.35
-103.98890,31.43960,64.76
-103.98890,31.44960,64.15
-103.98890,31.45960,63.51
-103.98890,31.46960,62.85
-103.98890,31.47960,62.16
-103.98890,31.48960,61.46
-103.98890,31.49960,60.73
-103.98890,31.50960,59.98
-103.98890,31.51960,55.66
-103.98890,31.52960,54.18
-103.98890,31.53960,53.65
-103.98890,31.54960,53.13
-103.98890,31.55960,52.63
-103.98890,31.56960,52.14
-103.98890,31.57960,51.66
-103.98890,31.58960,49.67
-103.98890,31.59960,44.76
-103.98890,31.60960,40.65
-103.98890,31.61960,37.16
