longitude,latitude,gap
-104.84329,31.39610,171.72
-104.84329,31.40610,171.96
-104.84329,31.41610,172.20
-104.84329,31.42610,172.44
-104.84329,31.43610,172.68
-104.84329,31.44610,172.91
-104.84329,31.45610,173.14
-104.84329,31.46610,173.38
-104.84329,31.47610,173.61
-104.84329,31.48610,173.84
-104.84329,31.49610,174.07
-104.84329,31.50610,174.31
-104.84329,31.51610,174.54
-104.84329,31.52610,174.78
-104.84329,31.53610,175.02
-104.84329,31.54610,175.27
-104.84329,31.55610,175.52
-104.84329,31.56610,175.77
-104.84329,31.57610,176.03
-104.84329,31.58610,176.30
-104.84329,31.59610,176.58
-104.84329,31.60610,176.86
-104.84329,31.61610,177.16
-104.84329,31.62610,177.47
-104.84329,31.63610,177.79
-104.84329,31.64610,178.13
-104.84329,31.65610,178.48
-104.84329,31.66610,178.86
-104.84329,31.67610,179.26
-104.84329,31.68610,179.69
-104.84329,31.69610,180.16
-104.84329,31.70610,180.66
-104.84329,31.71610,181.21
-104.84329,31.72610,181.81
-104.84329,31.73610,182.48
-104.84329,31.74610,183.22
-104.84329,31.75610,184.06
-104.84329,31.76610,185.02
-104.84329,31.77610,186.12
-104.84329,31.78610,187.41
-104.84329,31.79610,188.94
-104.84329,31.80610,190.78
-104.84329,31.81610,193.06
-104.84329,31.82610,193.49
-104.84329,31.83610,193.59
-104.84329,31.84610,193.69
-104.84329,31.85610,193.79
-104.84329,31.86610,193.89
-104.84329,31.87610,193.99
-104.84329,31.88610,194.09
-104.84329,31.89610,194.19
-104.84329,31.90610,194.29
-104.83329,31.39610,169.96
-104.83329,31.40610,170.19
-104.83329,31.41610,170.42
-104.83329,31.42610,170.65
-104.83329,31.43610,170.87
-104.83329,31.44610,171.09
-104.83329,31.45610,171.31
-104.83329,31.46610,171.52
-104.83329,31.47610,171.74
-104.83329,31.48610,171.95
-104.83329,31.49610,172.16
-104.83329,31.50610,172.37
-104.83329,31.51610,172.58
-104.83329,31.52610,172.79
-104.83329,31.53610,173.01
-104.83329,31.54610,173.22
-104.83329,31.55610,173.43
-104.83329,31.56610,173.65
-104.83329,31.57610,173.87
-104.83329,31.58610,174.10
-104.83329,31.59610,174.33
-104.83329,31.60610,174.56
-104.83329,31.61610,174.80
-104.83329,31.62610,175.05
-104.83329,31.63610,175.31
-104.83329,31.64610,175.57
-104.83329,31.65610,175.85
-104.83329,31.66610,176.15
-104.83329,31.67610,176.46
-104.83329,31.68610,176.79
-104.83329,31.69610,177.14
-104.83329,31.70610,177.51
-104.83329,31.71610,177.92
-104.83329,31.72610,178.37
-104.83329,31.73610,178.86
-104.83329,31.74610,179.40
-104.83329,31.75610,180.01
-104.83329,31.76610,180.70
-104.83329,31.77610,181.50
-104.83329,31.78610,182.43
-104.83329,31.79610,183.53
-104.83329,31.80610,184.87
-104.83329,31.81610,186.53
-104.83329,31.82610,188.66
-104.83329,31.83610,191.48
-104.83329,31.84610,193.14
-104.83329,31.85610,193.25
-104.83329,31.86610,193.35
-104.83329,31.87610,193.46
-104.83329,31.88610,193.56
-104.83329,31.89610,193.66
-104.83329,31.90610,193.76
-104.82329,31.39610,168.19
-104.82329,31.40610,168.42
-104.82329,31.41610,168.64
-104.82329,31.42610,168.85
-104.82329,31.43610,169.06
-104.82329,31.44610,169.27
-104.82329,31.45610,169.47
-104.82329,31.46610,169.67
-104.82329,31.47610,169.87
-104.82329,31.48610,170.06
-104.82329,31.49610,170.25
-104.82329,31.50610,170.44
-104.82329,31.51610,170.62
-104.82329,31.52610,170.80
-104.82329,31.53610,170.99
-104.82329,31.54610,171.17
-104.82329,31.55610,171.35
-104.82329,31.56610,171.53
-104.82329,31.57610,171.71
-104.82329,31.58610,171.89
-104.82329,31.59610,172.07
-104.82329,31.60610,172.25
-104.82329,31.61610,172.44
-104.82329,31.62610,172.63
-104.82329,31.63610,172.82
-104.82329,31.64610,173.01
-104.82329,31.65610,173.22
-104.82329,31.66610,173.42
-104.82329,31.67610,173.64
-104.82329,31.68610,173.86
-104.82329,31.69610,174.10
-104.82329,31.70610,174.34
-104.82329,31.71610,174.61
-104.82329,31.72610,174.89
-104.82329,31.73610,175.19
-104.82329,31.74610,175.53
-104.82329,31.75610,175.90
-104.82329,31.76610,176.31
-104.82329,31.77610,176.78
-104.82329,31.78610,177.32
-104.82329,31.79610,177.95
-104.82329,31.80610,178.72
-104.82329,31.81610,179.67
-104.82329,31.82610,180.89
-104.82329,31.83610,182.52
-104.82329,31.84610,184.83
-104.82329,31.85610,188.38
-104.82329,31.86610,192.81
-104.82329,31.87610,192.92
-104.82329,31.88610,193.03
-104.82329,31.89610,193.13
-104.82329,31.90610,193.24
-104.81329,31.39610,166.43
-104.81329,31.40610,166.65
-104.81329,31.41610,166.86
-104.81329,31.42610,167.06
-104.81329,31.43610,167.26
-104.81329,31.44610,167.45
-104.81329,31.45610,167.64
-104.81329,31.46610,167.82
-104.81329,31.47610,168.00
-104.81329,31.48610,168.17
-104.81329,31.49610,168.34
-104.81329,31.50610,168.50
-104.81329,31.51610,168.66
-104.81329,31.52610,168.82
-104.81329,31.53610,168.97
-104.81329,31.54610,169.12
-104.81329,31.55610,169.26
-104.81329,31.56610,169.41
-104.81329,31.57610,169.55
-104.81329,31.58610,169.68
-104.81329,31.59610,169.82
-104.81329,31.60610,169.95
-104.81329,31.61610,170.08
-104.81329,31.62610,170.20
-104.81329,31.63610,170.33
-104.81329,31.64610,170.45
-104.81329,31.65610,170.57
-104.81329,31.66610,170.69
-104.81329,31.67610,170.81
-104.81329,31.68610,170.93
-104.81329,31.69610,171.05
-104.81329,31.70610,171.16
-104.81329,31.71610,171.28
-104.81329,31.72610,171.39
-104.81329,31.73610,171.51
-104.81329,31.74610,171.63
-104.81329,31.75610,171.75
-104.81329,31.76610,171.88
-104.81329,31.77610,172.00
-104.81329,31.78610,172.14
-104.81329,31.79610,172.29
-104.81329,31.80610,172.44
-104.81329,31.81610,172.62
-104.81329,31.82610,172.83
-104.81329,31.83610,173.08
-104.81329,31.84610,173.42
-104.81329,31.85610,173.90
-104.81329,31.86610,174.73
-104.81329,31.87610,176.64
-104.81329,31.88610,187.78
-104.81329,31.89610,192.61
-104.81329,31.90610,192.71
-104.80329,31.39610,164.68
-104.80329,31.40610,164.89
-104.80329,31.41610,165.08
-104.80329,31.42610,165.28
-104.80329,31.43610,165.46
-104.80329,31.44610,165.64
-104.80329,31.45610,165.81
-104.80329,31.46610,165.97
-104.80329,31.47610,166.13
-104.80329,31.48610,166.28
-104.80329,31.49610,166.43
-104.80329,31.50610,166.57
-104.80329,31.51610,166.70
-104.80329,31.52610,166.83
-104.80329,31.53610,166.95
-104.80329,31.54610,167.07
-104.80329,31.55610,167.18
-104.80329,31.56610,167.29
-104.80329,31.57610,167.38
-104.80329,31.58610,167.48
-104.80329,31.59610,167.56
-104.80329,31.60610,167.64
-104.80329,31.61610,167.71
-104.80329,31.62610,167.78
-104.80329,31.63610,167.84
-104.80329,31.64610,167.89
-104.80329,31.65610,167.93
-104.80329,31.66610,167.96
-104.80329,31.67610,167.99
-104.80329,31.68610,168.00
-104.80329,31.69610,168.00
-104.80329,31.70610,167.98
-104.80329,31.71610,167.95
-104.80329,31.72610,167.90
-104.80329,31.73610,167.83
-104.80329,31.74610,167.73
-104.80329,31.75610,167.60
-104.80329,31.76610,167.44
-104.80329,31.77610,167.23
-104.80329,31.78610,166.96
-104.80329,31.79610,166.61
-104.80329,31.80610,166.15
-104.80329,31.81610,165.55
-104.80329,31.82610,164.74
-104.80329,31.83610,163.60
-104.80329,31.84610,161.91
-104.80329,31.85610,159.21
-104.80329,31.86610,154.34
-104.80329,31.87610,143.48
-104.80329,31.88610,109.18
-104.80329,31.89610,149.60
-104.80329,31.90610,175.36
-104.79329,31.39610,162.93
-104.79329,31.40610,163.13
-104.79329,31.41610,163.32
-104.79329,31.42610,163.49
-104.79329,31.43610,163.67
-104.79329,31.44610,163.83
-104.79329,31.45610,163.98
-104.79329,31.46610,164.13
-104.79329,31.47610,164.27
-104.79329,31.48610,164.40
-104.79329,31.49610,164.53
-104.79329,31.50610,164.64
-104.79329,31.51610,164.75
-104.79329,31.52610,164.85
-104.79329,31.53610,164.94
-104.79329,31.54610,165.03
-104.79329,31.55610,165.10
-104.79329,31.56610,165.17
-104.79329,31.57610,165.23
-104.79329,31.58610,165.27
-104.79329,31.59610,165.31
-104.79329,31.60610,165.34
-104.79329,31.61610,165.36
-104.79329,31.62610,165.36
-104.79329,31.63610,165.35
-104.79329,31.64610,165.33
-104.79329,31.65610,165.30
-104.79329,31.66610,165.24
-104.79329,31.67610,165.17
-104.79329,31.68610,165.07
-104.79329,31.69610,164.96
-104.79329,31.70610,164.81
-104.79329,31.71610,164.63
-104.79329,31.72610,164.42
-104.79329,31.73610,164.16
-104.79329,31.74610,163.86
-104.79329,31.75610,163.48
-104.79329,31.76610,163.04
-104.79329,31.77610,162.49
-104.79329,31.78610,161.83
-104.79329,31.79610,161.00
-104.79329,31.80610,159.97
-104.79329,31.81610,158.63
-104.79329,31.82610,156.88
-104.79329,31.83610,154.48
-104.79329,31.84610,151.07
-104.79329,31.85610,145.90
-104.79329,31.86610,137.43
-104.79329,31.87610,122.25
-104.79329,31.88610,96.46
-104.79329,31.89610,131.06
-104.79329,31.90610,155.35
-104.78329,31.39610,161.19
-104.78329,31.40610,161.38
-104.78329,31.41610,161.55
-104.78329,31.42610,161.72
-104.78329,31.43610,161.88
-104.78329,31.44610,162.03
-104.78329,31.45610,162.16
-104.78329,31.46610,162.29
-104.78329,31.47610,162.41
-104.78329,31.48610,162.53
-104.78329,31.49610,162.63
-104.78329,31.50610,162.72
-104.78329,31.51610,162.80
-104.78329,31.52610,162.87
-104.78329,31.53610,162.94
-104.78329,31.54610,162.99
-104.78329,31.55610,163.03
-104.78329,31.56610,163.06
-104.78329,31.57610,163.08
-104.78329,31.58610,163.08
-104.78329,31.59610,163.07
-104.78329,31.60610,163.05
-104.78329,31.61610,163.01
-104.78329,31.62610,162.95
-104.78329,31.63610,162.88
-104.78329,31.64610,162.79
-104.78329,31.65610,162.67
-104.78329,31.66610,162.53
-104.78329,31.67610,162.37
-104.78329,31.68610,162.17
-104.78329,31.69610,161.94
-104.78329,31.70610,161.66
-104.78329,31.71610,161.34
-104.78329,31.72610,160.97
-104.78329,31.73610,160.54
-104.78329,31.74610,160.02
-104.78329,31.75610,159.42
-104.78329,31.76610,158.70
-104.78329,31.77610,157.85
-104.78329,31.78610,156.82
-104.78329,31.79610,155.55
-104.78329,31.80610,153.99
-104.78329,31.81610,152.02
-104.78329,31.82610,149.47
-104.78329,31.83610,146.08
-104.78329,31.84610,141.44
-104.78329,31.85610,134.82
-104.78329,31.86610,125.03
-104.78329,31.87610,110.37
-104.78329,31.88610,100.98
