longitude,latitude,gap
-75.51139,4.83257,290.83
-75.51139,4.84257,292.20
-75.51139,4.85257,302.05
-75.51139,4.86257,319.29
-75.51139,4.87257,286.23
-75.51139,4.88257,272.12
-75.51139,4.89257,270.39
-75.51139,4.90257,272.77
-75.51139,4.91257,276.96
-75.50139,4.83257,273.40
-75.50139,4.84257,266.37
-75.50139,4.85257,256.55
-75.50139,4.86257,205.90
-75.50139,4.87257,227.83
-75.50139,4.88257,240.26
-75.50139,4.89257,248.84
-75.50139,4.90257,256.90
-75.50139,4.91257,264.91
-75.49139,4.83257,256.73
-75.49139,4.84257,242.37
-75.49139,4.85257,219.08
-75.49139,4.86257,175.92
-75.49139,4.87257,182.45
-75.49139,4.88257,210.31
-75.49139,4.89257,227.57
-75.49139,4.90257,241.04
-75.49139,4.91257,252.93
-75.48139,4.83257,243.42
-75.48139,4.84257,225.91
-75.48139,4.85257,202.28
-75.48139,4.86257,171.81
-75.48139,4.87257,163.45
-75.48139,4.88257,189.21
-75.48139,4.89257,209.48
-75.48139,4.90257,226.53
-75.48139,4.91257,241.82
-75.47139,4.83257,233.95
-75.47139,4.84257,215.65
-75.47139,4.85257,193.80
-75.47139,4.86257,168.95
-75.47139,4.87257,151.46
-75.47139,4.88257,173.86
-75.47139,4.89257,194.42
-75.47139,4.90257,213.63
-75.47139,4.91257,231.93
-75.46139,4.83257,227.69
-75.46139,4.84257,209.16
-75.46139,4.85257,188.51
-75.46139,4.86257,164.30
-75.46139,4.87257,140.91
-75.46139,4.88257,160.59
-75.46139,4.89257,180.67
-75.46139,4.90257,201.52
-75.46139,4.91257,223.10
-75.45139,4.83257,223.97
-75.45139,4.84257,204.94
-75.45139,4.85257,184.50
-75.45139,4.86257,156.56
-75.45139,4.87257,127.47
-75.45139,4.88257,147.04
-75.45139,4.89257,166.10
-75.45139,4.90257,188.40
-75.45139,4.91257,214.64
-75.44139,4.83257,222.47
-75.44139,4.84257,202.21
-75.44139,4.85257,180.84
-75.44139,4.86257,139.90
-75.44139,4.87257,111.51
-75.44139,4.88257,123.84
-75.44139,4.89257,148.24
-75.44139,4.90257,170.62
-75.44139,4.91257,204.43
-75.43139,4.83257,223.40
-75.43139,4.84257,200.66
-75.43139,4.85257,176.74
-75.43139,4.86257,97.95
-75.43139,4.87257,86.58
-75.43139,4.88257,97.27
-75.43139,4.89257,116.90
-75.43139,4.90257,140.63
-75.43139,4.91257,180.16
-75.42139,4.83257,227.91
-75.42139,4.84257,200.43
-75.42139,4.85257,163.91
-75.42139,4.86257,96.40
-75.42139,4.87257,65.77
-75.42139,4.88257,60.71
-75.42139,4.89257,62.16
-75.42139,4.90257,123.42
-75.42139,4.91257,167.73
-75.41139,4.83257,239.55
-75.41139,4.84257,202.89
-75.41139,4.85257,153.16
-75.41139,4.86257,102.12
-75.41139,4.87257,71.38
-75.41139,4.88257,80.31
-75.41139,4.89257,122.28
-75.41139,4.90257,157.68
-75.41139,4.91257,202.70
-75.40139,4.83257,262.15
-75.40139,4.84257,221.10
-75.40139,4.85257,121.28
-75.40139,4.86257,85.57
-75.40139,4.87257,90.19
-75.40139,4.88257,74.71
-75.40139,4.89257,137.62
-75.40139,4.90257,182.86
-75.40139,4.91257,222.10
-75.39139,4.83257,278.46
-75.39139,4.84257,271.97
-75.39139,4.85257,199.32
-75.39139,4.86257,147.66
-75.39139,4.87257,146.93
-75.39139,4.88257,109.04
-75.39139,4.89257,150.23
-75.39139,4.90257,216.08
-75.39139,4.91257,245.83
-75.38139,4.83257,287.67
-75.38139,4.84257,283.17
-75.38139,4.85257,249.30
-75.38139,4.86257,228.32
-75.38139,4.87257,219.35
-75.38139,4.88257,218.67
-75.38139,4.89257,255.44
-75.38139,4.90257,263.41
-75.38139,4.91257,272.22
-75.37139,4.83257,296.08
-75.37139,4.84257,290.85
-75.37139,4.85257,272.56
-75.37139,4.86257,260.24
-75.37139,4.87257,257.67
-75.37139,4.88257,269.30
-75.37139,4.89257,274.20
-75.37139,4.90257,278.10
-75.37139,4.91257,284.58
