network,station,station_latitude,station_longitude,station_elevation,station_starttime,station_endtime,channel,location_code,latitude,longitude,elevation,depth,site,epoch,starttime,endtime,equipment,sampling_rate,sensitivity,frequency,azimuth,dip
2T,EF56,29.5828,-97.1894,127.8,2018-09-26T21:06:10.000000Z,,HHZ,00,29.5828,-97.1894,127.8,0.0,Moulton,0,2018-09-26T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,0.0,-90.0
2T,EF56,29.5828,-97.1894,127.8,2018-09-26T21:06:10.000000Z,,HHN,00,29.5828,-97.1894,127.8,0.0,Moulton,0,2018-09-26T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,0.0,0.0
2T,EF56,29.5828,-97.1894,127.8,2018-09-26T21:06:10.000000Z,,HHE,00,29.5828,-97.1894,127.8,0.0,Moulton,0,2018-09-26T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,90.0,0.0
2T,EF54,29.1577,-97.6301,122.4,2018-11-15T21:06:10.000000Z,,HHE,00,29.1577,-97.6301,122.4,0.0,Nixon,0,2018-11-15T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,90.0,0.0
2T,EF54,29.1577,-97.6301,122.4,2018-11-15T21:06:10.000000Z,,HHN,00,29.1577,-97.6301,122.4,0.0,Nixon,0,2018-11-15T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,0.0,0.0
2T,EF54,29.1577,-97.6301,122.4,2018-11-15T21:06:10.000000Z,,HHZ,00,29.1577,-97.6301,122.4,0.0,Nixon,0,2018-11-15T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,0.0,-90.0
2T,EF58,28.8365,-98.723,137.0,2018-11-16T21:06:10.000000Z,,HHE,00,28.8365,-98.723,137.0,0.0,Charlotte,0,2018-11-16T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,90.0,0.0
2T,EF58,28.8365,-98.723,137.0,2018-11-16T21:06:10.000000Z,,HHN,00,28.8365,-98.723,137.0,0.0,Charlotte,0,2018-11-16T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,0.0,0.0
2T,EF58,28.8365,-98.723,137.0,2018-11-16T21:06:10.000000Z,,HHZ,00,28.8365,-98.723,137.0,0.0,Charlotte,0,2018-11-16T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,0.0,-90.0
2T,EF59,28.9501,-98.4191,98.1,2018-11-08T21:06:10.000000Z,,HHZ,00,28.9501,-98.4191,98.1,0.0,Coughran,0,2018-11-08T21:06:10.000000Z,,EQMet,200.0,307376884.4484964,1.0,0.0,-90.0
