pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20221116.213015.83-P-TX.PB28.00.HH,2022-11-16 21:30:15.830,0.87,P,TX,PB28,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:15.770,2022-11-16 21:30:17.490,0.92,28.1,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB28,1,0.13408978711474756
20221116.213015.97-P-TX.PB37.00.HH,2022-11-16 21:30:15.970,0.86,P,TX,PB37,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:15.850,2022-11-16 21:30:17.850,0.93,38.3,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB37,1,0.13239993182287418
20221116.213016.59-P-TX.PB29.00.HH,2022-11-16 21:30:16.590,0.83,P,TX,PB29,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.550,2022-11-16 21:30:18.910,0.93,21.1,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB29,1,0.12778535599418522
20221116.213016.68-P-TX.PB35.00.HH,2022-11-16 21:30:16.680,0.78,P,TX,PB35,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.600,2022-11-16 21:30:19.230,0.87,22.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed,TX.PB35,1,0.12020630716548289
20221116.213016.80-P-TX.PB36.00.HH,2022-11-16 21:30:16.800,0.75,P,TX,PB36,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.730,2022-11-16 21:30:19.430,0.93,14.4,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB36,1,0.1340762300655038
20221116.213016.97-S-TX.PB28.00.HH,2022-11-16 21:30:16.970,0.83,S,TX,PB28,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:15.770,2022-11-16 21:30:17.490,0.92,12.7,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB28,1,0.1155985715588204
20221116.213017.08-P-TX.PB38.00.HH,2022-11-16 21:30:17.080,0.73,P,TX,PB38,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.910,2022-11-16 21:30:20.060,0.85,12.4,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB38,1,0.12790371751061008
20221116.213017.28-S-TX.PB37.00.HH,2022-11-16 21:30:17.280,0.83,S,TX,PB37,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:15.850,2022-11-16 21:30:17.850,0.93,15.0,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB37,1,0.11249705614544647
20221116.213018.20-S-TX.PB29.00.HH,2022-11-16 21:30:18.200,0.8,S,TX,PB29,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.550,2022-11-16 21:30:18.910,0.93,9.6,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB29,1,0.12783020661921912
20221116.213018.45-S-TX.PB35.00.HH,2022-11-16 21:30:18.450,0.75,S,TX,PB35,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.670,2022-11-16 21:30:19.230,0.93,6.7,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HHZ__20221116T213000Z__20221116T213459Z.mseed,TX.PB35,1,0.12331036885029124
20221116.213018.66-S-TX.PB36.00.HH,2022-11-16 21:30:18.660,0.8,S,TX,PB36,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.730,2022-11-16 21:30:19.430,0.93,6.4,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB36,1,0.09384477659901674
20221116.213019.12-S-TX.PB38.00.HH,2022-11-16 21:30:19.120,0.7,S,TX,PB38,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.910,2022-11-16 21:30:20.060,0.85,9.2,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB38,1,0.11560364753774774
20221116.213026.95-S-TX.PB26.00.HH,2022-11-16 21:30:26.953,0.08,S,TX,PB26,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:14.493,2022-11-16 21:30:34.183,0.15,6.9,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB26/TX.PB26.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB26,1,0.12329076465868703
