pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20221116.213015.83-P-TX.PB28.00.HH,2022-11-16 21:30:15.830000,0.88,P,TX,PB28,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:15.670000,2022-11-16 21:30:17.600000,0.84,28.1,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213015.95-P-TX.PB37.00.HH,2022-11-16 21:30:15.950000,0.89,P,TX,PB37,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:15.780000,2022-11-16 21:30:17.980000,0.84,38.4,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213016.61-P-TX.PB29.00.HH,2022-11-16 21:30:16.610000,0.8,P,TX,PB29,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:16.320000,2022-11-16 21:30:19.100000,0.81,20.7,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213016.68-P-TX.PB35.00.HH,2022-11-16 21:30:16.680000,0.84,P,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:16.490000,2022-11-16 21:30:19.420000,0.8,22.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed
20221116.213016.72-P-TX.PB35.00.HH,2022-11-16 21:30:16.720000,0.88,P,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:16.620000,2022-11-16 21:30:19.420000,0.86,19.1,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HHZ__20221116T213000Z__20221116T213459Z.mseed
20221116.213016.81-P-TX.PB36.00.HH,2022-11-16 21:30:16.810000,0.79,P,TX,PB36,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:16.240000,2022-11-16 21:30:19.640000,0.75,14.6,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213016.98-S-TX.PB28.00.HH,2022-11-16 21:30:16.980000,0.82,S,TX,PB28,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:15.670000,2022-11-16 21:30:17.600000,0.84,12.7,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213017.09-P-TX.PB38.00.HH,2022-11-16 21:30:17.090000,0.84,P,TX,PB38,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:16.610000,2022-11-16 21:30:20.200000,0.73,12.4,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213017.28-S-TX.PB37.00.HH,2022-11-16 21:30:17.280000,0.8,S,TX,PB37,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:15.780000,2022-11-16 21:30:17.980000,0.84,15.0,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213018.21-S-TX.PB29.00.HH,2022-11-16 21:30:18.210000,0.82,S,TX,PB29,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:16.320000,2022-11-16 21:30:19.100000,0.81,9.6,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213018.41-S-TX.PB35.00.HH,2022-11-16 21:30:18.410000,0.65,S,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:16.490000,2022-11-16 21:30:19.420000,0.8,8.6,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed
20221116.213018.45-S-TX.PB35.00.HH,2022-11-16 21:30:18.450000,0.78,S,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:16.620000,2022-11-16 21:30:19.420000,0.86,6.7,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HHZ__20221116T213000Z__20221116T213459Z.mseed
20221116.213018.66-S-TX.PB36.00.HH,2022-11-16 21:30:18.660000,0.8,S,TX,PB36,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:16.240000,2022-11-16 21:30:19.640000,0.75,6.4,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213019.12-S-TX.PB38.00.HH,2022-11-16 21:30:19.120000,0.73,S,TX,PB38,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:16.610000,2022-11-16 21:30:20.200000,0.73,9.2,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213029.29-S-TX.PB33.00.HH,2022-11-16 21:30:29.290000,0.1,S,TX,PB33,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:30:05.120000,2022-11-16 21:30:37.100000,0.08,7.5,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB33/TX.PB33.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213043.39-P-TX.PB38.00.HH,2022-11-16 21:30:43.390000,0.02,P,TX,PB38,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:30:43.220000,2022-11-16 21:30:46.790000,0.03,12.4,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed
