pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20231207.040345.69-P-TX.PB33.00.HH,2023-12-07 04:03:45.690000,0.02,P,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:03:32.030000,2023-12-07 04:03:50.280000,0.16,9.7,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040346.02-P-TX.PB33.00.HH,2023-12-07 04:03:46.020000,0.48,P,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:03:45.300000,2023-12-07 04:03:48.310000,0.29,14.2,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040346.28-S-TX.PB33.00.HH,2023-12-07 04:03:46.280000,0.38,S,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:03:32.030000,2023-12-07 04:03:50.280000,0.16,13.1,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040346.38-S-4O.WB04.00.HH,2023-12-07 04:03:46.389500,0.02,S,4O,WB04,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:03:43.349500,2023-12-07 04:03:49.019500,0.02,11.9,31.530513,-103.950319,961.89,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/WB04/4O.WB04.00.HHN__20231207T040259Z__20231207T040759Z.mseed
20231207.040346.45-S-TX.PB33.00.HH,2023-12-07 04:03:46.450000,0.61,S,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:03:45.300000,2023-12-07 04:03:48.310000,0.29,9.7,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040412.20-P-TX.PB35.00.HH,2023-12-07 04:04:12.200000,0.83,P,TX,PB35,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:04:11.750000,2023-12-07 04:04:14.360000,0.62,9.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB35/TX.PB35.00.HH1__20231207T040300Z__20231207T040800Z.mseed
20231207.040412.51-P-TX.PB36.00.HH,2023-12-07 04:04:12.510000,0.11,P,TX,PB36,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:04:11.510000,2023-12-07 04:04:14.580000,0.1,5.9,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB36/TX.PB36.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040412.94-P-TX.PB33.00.HH,2023-12-07 04:04:12.940000,0.73,P,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:04:12.490000,2023-12-07 04:04:15.530000,0.72,14.2,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040413.46-S-TX.PB26.00.HH,2023-12-07 04:04:13.463000,0.03,S,TX,PB26,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:07.863000,2023-12-07 04:04:15.553000,0.03,8.4,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB26/TX.PB26.00.HHE__20231207T040300Z__20231207T040800Z.mseed
20231207.040413.51-S-TX.PB35.00.HH,2023-12-07 04:04:13.510000,0.78,S,TX,PB35,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:11.750000,2023-12-07 04:04:14.360000,0.62,10.0,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB35/TX.PB35.00.HH1__20231207T040300Z__20231207T040800Z.mseed
